x,y,z,alpha.water
0.15,-4.1359e-25,-0.125,1.00001
0.15,8.27181e-25,-0.125,1.00001
0.15,-4.27025e-19,-0.120834,1.00001
0.15,-8.5405e-19,-0.116667,1.00001
0.15,-8.5404e-19,-0.1125,1.00001
0.15,-8.54031e-19,-0.108333,1.00001
0.15,-8.54033e-19,-0.104167,1.00001
0.15,-8.54036e-19,-0.1,1.00001
0.15,-8.54035e-19,-0.0958334,1.00001
0.15,-8.54034e-19,-0.0916667,1.00001
0.15,-8.54033e-19,-0.0875,1.00001
0.15,-8.54033e-19,-0.0833333,1.00001
0.15,-8.54035e-19,-0.08125,1.00001
0.15,-8.54038e-19,-0.0791667,1.00001
0.15,-8.54037e-19,-0.0781249,1.00001
0.15,-8.54036e-19,-0.0770831,1.00001
0.15,-8.54034e-19,-0.0760416,1.00001
0.15,-8.54033e-19,-0.075,1.00001
0.15,-8.54034e-19,-0.0739583,1.00001
0.15,-8.54036e-19,-0.0729166,1.00001
0.15,-8.54036e-19,-0.071875,1.00001
0.15,-8.54037e-19,-0.0708333,1.00001
0.15,-8.54037e-19,-0.0697916,1.00001
0.15,-8.54037e-19,-0.0687499,1.00001
0.15,-8.54036e-19,-0.0677083,1.00001
0.15,-8.54036e-19,-0.0666667,1.00001
0.15,-8.54035e-19,-0.065625,1.00001
0.15,-8.54035e-19,-0.0645833,1.00001
0.15,-8.54036e-19,-0.0635417,1.00001
0.15,-8.54037e-19,-0.0625,1.00001
0.15,-8.54037e-19,-0.0614583,1.00001
0.15,-8.54038e-19,-0.0604166,1.00001
0.15,-8.54038e-19,-0.059375,1.00001
0.15,-8.54038e-19,-0.0583333,1.00001
0.15,-8.54038e-19,-0.0572917,1.00001
0.15,-8.54038e-19,-0.05625,1.00001
0.15,-8.54038e-19,-0.0552084,1.00001
0.15,-8.54038e-19,-0.0541667,1.00001
0.15,-8.54038e-19,-0.053125,1.00001
0.15,-8.54037e-19,-0.0520833,1.00001
0.15,-8.54036e-19,-0.0510417,1.00001
0.15,-8.54035e-19,-0.05,1.00001
0.15,-8.54035e-19,-0.0489584,1.00001
0.15,-8.54035e-19,-0.0479167,1.00001
0.15,-8.54034e-19,-0.046875,1.00001
0.15,-8.54033e-19,-0.0458333,1.00001
0.15,-8.54033e-19,-0.0447917,1.00001
0.15,-8.54034e-19,-0.04375,1.00001
0.15,-8.54034e-19,-0.0427084,1.00001
0.15,-8.54034e-19,-0.0416667,1.00001
0.15,-8.54034e-19,-0.040625,1.00001
0.15,-8.54035e-19,-0.0395834,1.00001
0.15,-8.54035e-19,-0.0385417,1.00001
0.15,-8.54034e-19,-0.0375,1.00001
0.15,-8.54034e-19,-0.0364583,1.00001
0.15,-8.54034e-19,-0.0354166,1.00001
0.15,-8.54034e-19,-0.0353056,1.00001
0.15,-8.54034e-19,-0.0351946,1.00001
0.15,-8.54034e-19,-0.034264,1.00001
0.15,-8.54034e-19,-0.0333333,1.00001
0.15,-8.54035e-19,-0.0322917,1.00001
0.15,-8.54035e-19,-0.03125,1
0.15,-8.54035e-19,-0.0302084,1
0.15,-8.54034e-19,-0.0291667,1
0.15,-8.54034e-19,-0.0281251,1
0.15,-8.54034e-19,-0.0270834,1
0.15,0,-0.0270834,1
0.15,3.99022e-20,-0.0260417,1
0.15,7.98043e-20,-0.025,1
0.15,7.98048e-20,-0.0239583,1
0.15,7.98054e-20,-0.0229166,1
0.15,7.98057e-20,-0.021875,1
0.15,7.9806e-20,-0.0208333,1
0.15,7.98052e-20,-0.0197916,1
0.15,7.98045e-20,-0.01875,1
0.15,7.98042e-20,-0.0177083,1
0.15,7.98039e-20,-0.0166667,1
0.15,7.98045e-20,-0.015625,1
0.15,7.98052e-20,-0.0145834,1
0.15,7.9806e-20,-0.0135417,1
0.15,7.98068e-20,-0.0125,0.999997
0.15,7.98066e-20,-0.0114583,0.999997
0.15,7.98064e-20,-0.0104167,0.999978
0.15,7.98064e-20,-0.00937501,0.999978
0.15,7.98064e-20,-0.00833333,0.999861
0.15,7.98061e-20,-0.00729166,0.999861
0.15,7.98059e-20,-0.00625,0.999129
0.15,7.98059e-20,-0.00520833,0.999129
0.15,7.98059e-20,-0.00416667,0.994454
0.15,7.98057e-20,-0.003125,0.994454
0.15,7.98054e-20,-0.00208333,0.963073
0.15,7.98059e-20,-0.00104166,0.963073
0.15,7.98064e-20,6.1236e-12,0.963073
0.15,-2.06795e-25,6.1236e-12,0.754951
0.15,-1.51061e-19,0.00104167,0.754951
0.15,-3.02122e-19,0.00208333,0.24946
0.15,-3.02123e-19,0.003125,0.24946
0.15,-3.02123e-19,0.00416667,0.0272778
0.15,-3.02123e-19,0.00520833,0.0272778
0.15,-3.02123e-19,0.00625,0.00538779
0.15,-3.02122e-19,0.00729166,0.00538779
0.15,-3.02122e-19,0.00833333,0.00189835
0.15,-3.02122e-19,0.00937501,0.00189835
0.15,-3.02122e-19,0.0104167,0.000599448
0.15,-3.02122e-19,0.0110208,0.000599448
0.15,-3.02122e-19,0.0116248,0.000598342
0.15,-3.02122e-19,0.0120624,0.000598342
0.15,-3.02122e-19,0.0125,0.000187822
0.15,-3.02122e-19,0.0135417,0.000187822
0.15,-3.02122e-19,0.0145834,5.69291e-05
