x,y,z,alpha.water
0,0.125,-0.125,1
8.67362e-19,0.125,-0.120834,1
1.73472e-18,0.125,-0.116667,1
-1.02999e-18,0.125,-0.116667,1
-7.31836e-19,0.125,-0.1125,1
-4.33681e-19,0.125,-0.108333,1
-4.33681e-19,0.125,-0.104167,1
-4.33681e-19,0.125,-0.1,1
-4.33681e-19,0.125,-0.0958334,1
-4.33681e-19,0.125,-0.0916667,1
-8.74138e-19,0.125,-0.0875,1
-1.3146e-18,0.125,-0.0833333,1
-1.26716e-18,0.125,-0.08125,1
-1.21973e-18,0.125,-0.0791667,1
-1.34848e-18,0.125,-0.0781251,1
-1.47723e-18,0.125,-0.0770835,1
-1.60597e-18,0.125,-0.0760418,1
-1.73472e-18,0.125,-0.075,1
-1.89735e-18,0.125,-0.0739584,1
-2.05998e-18,0.125,-0.0729167,1
-2.12097e-18,0.125,-0.071875,1
-2.18196e-18,0.125,-0.0708333,1
-2.22939e-18,0.125,-0.0697917,1
-2.27682e-18,0.125,-0.0687501,1
-2.19551e-18,0.125,-0.0677084,1
-2.11419e-18,0.125,-0.0666667,1
-2.22261e-18,0.125,-0.065625,1
-2.33103e-18,0.125,-0.0645834,1.00001
-2.28699e-18,0.125,-0.0635417,1.00001
-2.24294e-18,0.125,-0.0625,1.00001
-2.20567e-18,0.125,-0.0614584,1.00001
-2.1684e-18,0.125,-0.0604167,1.00001
-2.34459e-18,0.125,-0.059375,1.00001
-2.52077e-18,0.125,-0.0583333,1.00001
-2.53432e-18,0.125,-0.0572916,1.00001
-2.54788e-18,0.125,-0.05625,1
-2.59531e-18,0.125,-0.0552083,1
-2.64274e-18,0.125,-0.0541667,1
-2.63597e-18,0.125,-0.053125,1
-2.62919e-18,0.125,-0.0520834,1
-2.62919e-18,0.125,-0.0510417,1
-2.62919e-18,0.125,-0.05,1
-2.61564e-18,0.125,-0.0489583,1
-2.60209e-18,0.125,-0.0479167,1
-2.66985e-18,0.125,-0.046875,1
-2.73761e-18,0.125,-0.0458333,1
-2.84603e-18,0.125,-0.0447917,1
-2.95445e-18,0.125,-0.04375,1
-2.95445e-18,0.125,-0.0427083,1
-2.95445e-18,0.125,-0.0416667,1
-2.92735e-18,0.125,-0.040625,1
-2.90024e-18,0.125,-0.0395834,1
-2.92735e-18,0.125,-0.0385417,1
-2.95445e-18,0.125,-0.0375,1
-2.968e-18,0.125,-0.0364583,1
-2.98156e-18,0.125,-0.0354166,1
-2.98156e-18,0.125,-0.034375,1
-2.98156e-18,0.125,-0.0333333,1
-2.968e-18,0.125,-0.0322916,1
-2.95445e-18,0.125,-0.03125,1
-2.95276e-18,0.125,-0.0302083,1
-2.95106e-18,0.125,-0.0291667,1
-2.9392e-18,0.125,-0.028125,1
-2.92735e-18,0.125,-0.0270834,1
-2.92735e-18,0.125,-0.0260417,1
-2.92735e-18,0.125,-0.025,1
-2.92735e-18,0.125,-0.0239583,1
-2.92735e-18,0.125,-0.0229167,1
-2.9409e-18,0.125,-0.021875,1
-2.95445e-18,0.125,-0.0208333,1
-2.9409e-18,0.125,-0.0197916,1
-2.92735e-18,0.125,-0.01875,0.999999
-2.92735e-18,0.125,-0.0177083,0.999999
-2.92735e-18,0.125,-0.0166667,0.999995
-2.92735e-18,0.125,-0.015625,0.999995
-2.92735e-18,0.125,-0.0145834,0.999957
-2.91888e-18,0.125,-0.0135417,0.999957
-2.91041e-18,0.125,-0.0125,0.999499
-2.89061e-18,0.125,-0.0114583,0.999499
-2.87081e-18,0.125,-0.0104167,0.999499
-2.03288e-20,0.125,-0.0104167,0.992384
1.69407e-20,0.125,-0.00937502,0.992384
5.42101e-20,0.125,-0.00833333,0.829845
5.42101e-20,0.125,-0.00729167,0.829845
5.42101e-20,0.125,-0.00625,0.291452
4.74338e-20,0.125,-0.00520834,0.291452
4.06576e-20,0.125,-0.00416667,0.0268626
4.74338e-20,0.125,-0.003125,0.0268626
5.42101e-20,0.125,-0.00208333,0.000856579
4.06576e-20,0.125,-0.00104166,0.000856579
2.71051e-20,0.125,4.39413e-11,8.55299e-05
2.71051e-20,0.125,0.00104167,8.55299e-05
2.71051e-20,0.125,0.00208334,1.25702e-05
3.55754e-20,0.125,0.00312501,1.25702e-05
4.40457e-20,0.125,0.00416667,1.10407e-06
4.91279e-20,0.125,0.00520834,1.10407e-06
5.42101e-20,0.125,0.00625,9.01146e-08
5.42101e-20,0.125,0.00729167,9.01146e-08
5.42101e-20,0.125,0.00833333,2.05441e-09
5.42101e-20,0.125,0.00937502,2.05441e-09
5.42101e-20,0.125,0.0104167,1.84895e-10
6.77626e-20,0.125,0.0114584,1.84895e-10
8.13152e-20,0.125,0.0125,3.78891e-11
6.77626e-20,0.125,0.0135417,3.78891e-11
5.42101e-20,0.125,0.0145834,1.33083e-11
5.42101e-20,0.125,0.015625,1.33083e-11
5.42101e-20,0.125,0.0166667,1.02624e-11
5.42101e-20,0.125,0.0177083,1.02624e-11
5.42101e-20,0.125,0.01875,5.17561e-12
4.06576e-20,0.125,0.0197916,5.17561e-12
2.71051e-20,0.125,0.0208333,4.06174e-12
4.06576e-20,0.125,0.021875,4.06174e-12
5.42101e-20,0.125,0.0229167,3.92156e-12
4.06576e-20,0.125,0.0239583,3.92156e-12
2.71051e-20,0.125,0.025,3.8827e-12
2.71051e-20,0.125,0.0260416,3.8827e-12
2.71051e-20,0.125,0.0270833,3.54782e-12
2.03288e-20,0.125,0.028125,3.54782e-12
1.35525e-20,0.125,0.0291667,2.61494e-12
2.03288e-20,0.125,0.0302083,2.61494e-12
2.71051e-20,0.125,0.03125,1.60817e-12
2.71051e-20,0.125,0.0322917,1.60817e-12
2.71051e-20,0.125,0.0333333,8.65089e-13
2.71051e-20,0.125,0.034375,8.65089e-13
2.71051e-20,0.125,0.0354166,4.29521e-13
3.72694e-20,0.125,0.0364583,4.29521e-13
4.74338e-20,0.125,0.0375,2.32045e-13
-3.04932e-20,0.125,0.0385417,2.32045e-13
-1.0842e-19,0.125,0.0395834,1.68516e-13
-1.0842e-19,0.125,0.040625,1.68516e-13
-1.0842e-19,0.125,0.0416667,1.59643e-13
-9.48677e-20,0.125,0.0427084,1.59643e-13
-8.13152e-20,0.125,0.04375,1.84892e-13
-9.48677e-20,0.125,0.0447917,1.84892e-13
-1.0842e-19,0.125,0.0458334,2.52931e-13
-1.35525e-19,0.125,0.0468751,2.52931e-13
-1.6263e-19,0.125,0.0479168,3.48213e-13
-1.35525e-19,0.125,0.0489584,3.48213e-13
-1.0842e-19,0.125,0.0500001,4.58097e-13
-1.21973e-19,0.125,0.0510418,4.58097e-13
-1.35525e-19,0.125,0.0520835,5.80818e-13
-8.13152e-20,0.125,0.0531251,5.80818e-13
-2.71051e-20,0.125,0.0541668,7.19106e-13
-5.42101e-20,0.125,0.0552085,7.19106e-13
-8.13152e-20,0.125,0.0562502,8.78528e-13
-2.03288e-19,0.125,0.0572918,8.78528e-13
-3.25261e-19,0.125,0.0583335,1.06763e-12
-4.60786e-19,0.125,0.0593752,1.06763e-12
-5.96311e-19,0.125,0.0604169,1.2908e-12
-5.96311e-19,0.125,0.0614586,1.2908e-12
-5.96311e-19,0.125,0.0625003,1.54812e-12
-5.55654e-19,0.125,0.0635421,1.54812e-12
-5.14996e-19,0.125,0.0645839,1.83632e-12
-4.33681e-19,0.125,0.0656255,1.83632e-12
-3.52366e-19,0.125,0.0666672,2.15178e-12
-3.93023e-19,0.125,0.067709,2.15178e-12
-4.33681e-19,0.125,0.0687508,2.48704e-12
-2.57498e-19,0.125,0.0697925,2.48704e-12
-8.13152e-20,0.125,0.0708341,2.83274e-12
-1.76183e-19,0.125,0.071876,2.83274e-12
-2.71051e-19,0.125,0.0729178,3.17653e-12
-1.6263e-19,0.125,0.0739595,3.17653e-12
-5.42101e-20,0.125,0.0750012,3.5157e-12
-3.45166e-20,0.125,0.0760432,3.5157e-12
-1.35525e-20,0.125,0.0770851,3.87795e-12
-1.48231e-20,0.125,0.0770851,3.5157e-12
2.40557e-19,0.125,0.0781268,3.87795e-12
4.94667e-19,0.125,0.0791685,4.75376e-12
4.1674e-19,0.125,0.0812522,4.75376e-12
3.38813e-19,0.125,0.0833358,8.03531e-12
3.86247e-19,0.125,0.0875051,8.03531e-12
4.33681e-19,0.125,0.0916743,1.75284e-11
8.67362e-19,0.125,0.095843,1.75284e-11
1.30104e-18,0.125,0.100012,4.67072e-11
6.50521e-19,0.125,0.108362,4.67072e-11
0,0.125,0.116712,3.51488e-10
2.1684e-19,0.125,0.125065,3.51488e-10
4.33681e-19,0.125,0.133418,1.14872e-09
