x,y,z,alpha.water
0,0.125,-0.125,1
2.1684e-19,0.125,-0.120833,1
-1.46367e-18,0.125,-0.116667,1
4.33681e-19,0.125,-0.116667,1
-1.38236e-18,0.125,-0.1125,1
-1.30104e-18,0.125,-0.108333,1
-1.51788e-18,0.125,-0.104167,1
-1.73472e-18,0.125,-0.1,1
-1.51788e-18,0.125,-0.0958334,1
-1.30104e-18,0.125,-0.0916667,1
-1.68051e-18,0.125,-0.0875,1
-2.05998e-18,0.125,-0.0833333,1
-2.00577e-18,0.125,-0.08125,1
-1.95156e-18,0.125,-0.0791667,1
-2.00577e-18,0.125,-0.0781251,1
-2.05998e-18,0.125,-0.0770835,1
-2.05998e-18,0.125,-0.0760418,1
-2.05998e-18,0.125,-0.075,1
-2.22261e-18,0.125,-0.0739584,1
-2.38524e-18,0.125,-0.0729167,1
-2.27682e-18,0.125,-0.071875,1
-2.1684e-18,0.125,-0.0708333,1
-2.27682e-18,0.125,-0.0697917,1
-2.38524e-18,0.125,-0.0687501,1
-2.22261e-18,0.125,-0.0677084,1
-2.05998e-18,0.125,-0.0666667,1.00001
-2.05998e-18,0.125,-0.0656251,1.00001
-2.05998e-18,0.125,-0.0645834,1.00001
-2.02271e-18,0.125,-0.0635417,1.00001
-1.98545e-18,0.125,-0.0625,1.00001
-1.91429e-18,0.125,-0.0614584,1.00001
-1.84314e-18,0.125,-0.0604167,1
-2.00577e-18,0.125,-0.059375,1
-2.1684e-18,0.125,-0.0583333,1
-2.05998e-18,0.125,-0.0572917,1
-1.95156e-18,0.125,-0.05625,1
-1.95156e-18,0.125,-0.0552084,1
-1.95156e-18,0.125,-0.0541667,1
-2.00577e-18,0.125,-0.0531251,1
-2.05998e-18,0.125,-0.0520834,1
-2.05998e-18,0.125,-0.0510417,1
-2.05998e-18,0.125,-0.05,1
-2.00577e-18,0.125,-0.0489583,1
-1.95156e-18,0.125,-0.0479167,1
-2.00577e-18,0.125,-0.046875,1
-2.05998e-18,0.125,-0.0458333,1
-2.00577e-18,0.125,-0.0447917,1
-1.95156e-18,0.125,-0.04375,1
-1.95156e-18,0.125,-0.0427084,1
-1.95156e-18,0.125,-0.0416667,1
-1.89735e-18,0.125,-0.040625,1
-1.84314e-18,0.125,-0.0395834,1
-1.78893e-18,0.125,-0.0385417,1
-1.73472e-18,0.125,-0.0375,1
-1.78893e-18,0.125,-0.0364583,1
-1.84314e-18,0.125,-0.0354166,1
-1.84314e-18,0.125,-0.034375,1
-1.84314e-18,0.125,-0.0333333,1
-1.78893e-18,0.125,-0.0322917,1
-1.73472e-18,0.125,-0.03125,1
-1.75505e-18,0.125,-0.0302084,1
-1.77538e-18,0.125,-0.0291667,0.999998
-1.75505e-18,0.125,-0.0281251,0.999998
-1.73472e-18,0.125,-0.0270834,0.999997
-1.78893e-18,0.125,-0.0260417,0.999997
-1.84314e-18,0.125,-0.025,0.999998
-1.84314e-18,0.125,-0.0239584,0.999998
-1.84314e-18,0.125,-0.0229167,1
-2.00577e-18,0.125,-0.021875,1
-2.1684e-18,0.125,-0.0208333,1
-2.11419e-18,0.125,-0.0197917,1
-2.05998e-18,0.125,-0.01875,1
-2.05998e-18,0.125,-0.0177084,1
-2.05998e-18,0.125,-0.0166667,1
-2.05998e-18,0.125,-0.015625,1
-2.05998e-18,0.125,-0.0145834,1
-2.00916e-18,0.125,-0.0135417,1
-1.95834e-18,0.125,-0.0125,0.999999
-1.96723e-18,0.125,-0.0114584,0.999999
-1.97613e-18,0.125,-0.0104167,0.999999
4.06576e-20,0.125,-0.0104167,0.999992
-3.38813e-20,0.125,-0.00937502,0.999992
-1.0842e-19,0.125,-0.00833333,0.999931
-1.0842e-19,0.125,-0.00729166,0.999931
-1.0842e-19,0.125,-0.00625,0.999336
-1.6263e-19,0.125,-0.00520833,0.999336
-2.1684e-19,0.125,-0.00416667,0.991028
-2.1684e-19,0.125,-0.003125,0.991028
-2.1684e-19,0.125,-0.00208333,0.880115
-2.1684e-19,0.125,-0.00104166,0.880115
-2.1684e-19,0.125,4.38123e-11,0.37168
-2.1684e-19,0.125,0.00104167,0.37168
-2.1684e-19,0.125,0.00208334,0.0581756
-2.32087e-19,0.125,0.00312501,0.0581756
-2.47334e-19,0.125,0.00416667,0.0041726
-2.32087e-19,0.125,0.00520833,0.0041726
-2.1684e-19,0.125,0.00625,0.000156243
-2.1684e-19,0.125,0.00729167,0.000156243
-2.1684e-19,0.125,0.00833333,1.67565e-05
-2.1684e-19,0.125,0.00937501,1.67565e-05
-2.1684e-19,0.125,0.0104167,2.45356e-06
-1.0842e-19,0.125,0.0114583,2.45356e-06
0,0.125,0.0125,3.00975e-07
0,0.125,0.0135417,3.00975e-07
0,0.125,0.0145834,2.57021e-08
0,0.125,0.015625,2.57021e-08
0,0.125,0.0166667,1.42256e-09
5.42101e-20,0.125,0.0177083,1.42256e-09
1.0842e-19,0.125,0.01875,1.75412e-10
1.0842e-19,0.125,0.0197916,1.75412e-10
1.0842e-19,0.125,0.0208333,8.68165e-11
1.0842e-19,0.125,0.021875,8.68165e-11
1.0842e-19,0.125,0.0229167,1.04484e-10
1.0842e-19,0.125,0.0239583,1.04484e-10
1.0842e-19,0.125,0.025,1.72486e-10
1.0842e-19,0.125,0.0260416,1.72486e-10
1.0842e-19,0.125,0.0270833,6.11274e-10
5.42101e-20,0.125,0.028125,6.11274e-10
0,0.125,0.0291667,1.35426e-09
0,0.125,0.0302083,1.35426e-09
0,0.125,0.03125,1.59201e-09
0,0.125,0.0322916,1.59201e-09
0,0.125,0.0333333,1.39817e-09
0,0.125,0.034375,1.39817e-09
0,0.125,0.0354166,1.40181e-09
-3.38813e-20,0.125,0.0364583,1.40181e-09
-6.77626e-20,0.125,0.0375,2.08552e-09
-3.38813e-20,0.125,0.0385417,2.08552e-09
0,0.125,0.0395834,5.9094e-09
-5.42101e-20,0.125,0.040625,5.9094e-09
-1.0842e-19,0.125,0.0416667,1.0202e-08
-1.0842e-19,0.125,0.0427084,1.0202e-08
-1.0842e-19,0.125,0.04375,7.01617e-09
