x,y,z,alpha.water
0,0.15,-0.125,1
1.07065e-18,0.15,-0.120834,1
2.1413e-18,0.15,-0.116667,1
0,0.15,-0.116667,1
-5.92076e-19,0.15,-0.1125,1
-1.18415e-18,0.15,-0.108333,1
-1.16975e-18,0.15,-0.104166,1
-1.15535e-18,0.15,-0.1,1
-1.18754e-18,0.15,-0.0958333,1
-1.21973e-18,0.15,-0.0916667,1
-1.23328e-18,0.15,-0.0875,1
-1.24683e-18,0.15,-0.0833333,1
-1.21973e-18,0.15,-0.08125,1
-1.19262e-18,0.15,-0.0791667,1
-1.16552e-18,0.15,-0.0781251,1
-1.13841e-18,0.15,-0.0770835,1
-1.16552e-18,0.15,-0.0760417,1
-1.19262e-18,0.15,-0.075,1
-1.16552e-18,0.15,-0.0739583,1
-1.13841e-18,0.15,-0.0729167,1
-1.17907e-18,0.15,-0.071875,1
-1.21973e-18,0.15,-0.0708333,1
-1.21973e-18,0.15,-0.0697917,1
-1.21973e-18,0.15,-0.06875,1
-1.19262e-18,0.15,-0.0677084,1
-1.16552e-18,0.15,-0.0666667,1
-1.12486e-18,0.15,-0.065625,1
-1.0842e-18,0.15,-0.0645834,1
-1.08251e-18,0.15,-0.0635417,1
-1.08081e-18,0.15,-0.0625,1
-1.0554e-18,0.15,-0.0614583,1
-1.02999e-18,0.15,-0.0604167,1
-9.89334e-19,0.15,-0.059375,1
-9.48677e-19,0.15,-0.0583333,1
-9.48677e-19,0.15,-0.0572917,1
-9.48677e-19,0.15,-0.05625,1
-9.48677e-19,0.15,-0.0552084,1
-9.48677e-19,0.15,-0.0541667,1
-9.35124e-19,0.15,-0.0531251,1
-9.21572e-19,0.15,-0.0520834,1
-9.48677e-19,0.15,-0.0510417,1
-9.75782e-19,0.15,-0.05,1
-9.75782e-19,0.15,-0.0489583,1
-9.75782e-19,0.15,-0.0479167,1
-9.89334e-19,0.15,-0.046875,1
-1.00289e-18,0.15,-0.0458333,1
-9.89334e-19,0.15,-0.0447917,1
-9.75782e-19,0.15,-0.04375,1
-9.62229e-19,0.15,-0.0427084,1
-9.48677e-19,0.15,-0.0416667,1
-9.21572e-19,0.15,-0.0406251,1
-8.94467e-19,0.15,-0.0395834,1
-9.08019e-19,0.15,-0.0385417,1
-9.21572e-19,0.15,-0.0375,1
-9.21572e-19,0.15,-0.0364583,1
-9.21572e-19,0.15,-0.0354166,0.999999
-9.08019e-19,0.15,-0.034375,0.999999
-8.94467e-19,0.15,-0.0333333,0.999999
-9.08019e-19,0.15,-0.0322917,0.999999
-9.21572e-19,0.15,-0.03125,1
-9.21995e-19,0.15,-0.0302084,1
-9.22419e-19,0.15,-0.0291667,1
-9.08443e-19,0.15,-0.0281251,1
-8.94467e-19,0.15,-0.0270834,1
-8.94467e-19,0.15,-0.0260417,1
-8.94467e-19,0.15,-0.025,0.999999
-8.80914e-19,0.15,-0.0239583,0.999999
-8.67362e-19,0.15,-0.0229166,0.999999
-8.53809e-19,0.15,-0.021875,0.999999
-8.40257e-19,0.15,-0.0208333,1
-8.53809e-19,0.15,-0.0197917,1
-8.67362e-19,0.15,-0.01875,1
-8.80914e-19,0.15,-0.0177084,1
-8.94467e-19,0.15,-0.0166667,1
-9.08019e-19,0.15,-0.0156251,1
-9.21572e-19,0.15,-0.0145834,1
-9.48677e-19,0.15,-0.0135417,1
-9.75782e-19,0.15,-0.0125,1
5.42101e-20,0.15,-0.0125,1
1.49078e-19,0.15,-0.0114583,1
2.43945e-19,0.15,-0.0104166,0.999999
2.57498e-19,0.15,-0.00937497,0.999999
2.71051e-19,0.15,-0.00833333,0.999987
2.71051e-19,0.15,-0.00729167,0.999987
2.71051e-19,0.15,-0.00625,0.999716
2.84603e-19,0.15,-0.00520833,0.999716
2.98156e-19,0.15,-0.00416667,0.993859
2.98156e-19,0.15,-0.00312498,0.993859
2.98156e-19,0.15,-0.00208329,0.921472
2.84603e-19,0.15,-0.00104165,0.921472
2.71051e-19,0.15,1.45433e-11,0.485509
2.71051e-19,0.15,0.00104165,0.485509
2.71051e-19,0.15,0.00208329,0.0663979
2.87568e-19,0.15,0.00312498,0.0663979
3.04085e-19,0.15,0.00416667,0.00127513
2.87568e-19,0.15,0.00520834,0.00127513
2.71051e-19,0.15,0.00625,3.38538e-05
2.71051e-19,0.15,0.00729167,3.38538e-05
2.71051e-19,0.15,0.00833333,2.26088e-05
2.98156e-19,0.15,0.00937497,2.26088e-05
3.25261e-19,0.15,0.0104166,2.24143e-06
3.65918e-19,0.15,0.0114583,2.24143e-06
4.06576e-19,0.15,0.0125,1.25549e-07
3.93023e-19,0.15,0.0135417,1.25549e-07
3.79471e-19,0.15,0.0145834,8.29424e-09
3.79471e-19,0.15,0.015625,8.29424e-09
3.79471e-19,0.15,0.0166667,6.6437e-10
3.93023e-19,0.15,0.0177084,6.6437e-10
4.06576e-19,0.15,0.01875,7.67628e-11
4.20128e-19,0.15,0.0197917,7.67628e-11
4.33681e-19,0.15,0.0208333,9.22914e-12
4.33681e-19,0.15,0.021875,9.22914e-12
4.33681e-19,0.15,0.0229167,1.33599e-12
4.20128e-19,0.15,0.0239583,1.33599e-12
4.06576e-19,0.15,0.025,1.14036e-12
4.20128e-19,0.15,0.0260417,1.14036e-12
4.33681e-19,0.15,0.0270834,1.02179e-12
4.20128e-19,0.15,0.028125,1.02179e-12
4.06576e-19,0.15,0.0291667,8.50108e-13
4.20128e-19,0.15,0.0302084,8.50108e-13
4.33681e-19,0.15,0.03125,6.69198e-13
4.20128e-19,0.15,0.0322917,6.69198e-13
4.06576e-19,0.15,0.0333333,5.08908e-13
4.20128e-19,0.15,0.034375,5.08908e-13
4.33681e-19,0.15,0.0354166,3.74432e-13
