x,y,z,alpha.water
0.15,0,-0.125,1
0.15,-1.65436e-24,-0.125,1
0.15,-3.15925e-20,-0.120834,1
0.15,-6.3185e-20,-0.116667,1
0.15,-6.31908e-20,-0.1125,1
0.15,-6.31966e-20,-0.108333,1
0.15,-6.31966e-20,-0.104166,1
0.15,-6.31966e-20,-0.1,1
0.15,-6.31999e-20,-0.0958333,1
0.15,-6.32032e-20,-0.0916667,1
0.15,-6.32016e-20,-0.0875,1
0.15,-6.31999e-20,-0.0833333,1
0.15,-6.31991e-20,-0.08125,1
0.15,-6.31983e-20,-0.0791667,1
0.15,-6.31978e-20,-0.078125,1
0.15,-6.31974e-20,-0.0770833,1
0.15,-6.31995e-20,-0.0760416,1
0.15,-6.32016e-20,-0.075,1
0.15,-6.32007e-20,-0.0739584,1
0.15,-6.31999e-20,-0.0729168,1
0.15,-6.32003e-20,-0.071875,1
0.15,-6.32007e-20,-0.0708333,1
0.15,-6.32016e-20,-0.0697916,1
0.15,-6.32024e-20,-0.06875,1
0.15,-6.32016e-20,-0.0677083,1
0.15,-6.32007e-20,-0.0666667,1
0.15,-6.32011e-20,-0.065625,1
0.15,-6.32016e-20,-0.0645834,1
0.15,-6.32024e-20,-0.0635417,1
0.15,-6.32032e-20,-0.0625,1
0.15,-6.32026e-20,-0.0614583,1
0.15,-6.3202e-20,-0.0604167,1
0.15,-6.32022e-20,-0.059375,1
0.15,-6.32024e-20,-0.0583333,1
0.15,-6.32016e-20,-0.0572917,1
0.15,-6.32007e-20,-0.0562501,1
0.15,-6.32014e-20,-0.0552084,1
0.15,-6.3202e-20,-0.0541667,1
0.15,-6.32021e-20,-0.053125,1
0.15,-6.32022e-20,-0.0520834,1
0.15,-6.32027e-20,-0.0510417,1
0.15,-6.32032e-20,-0.05,1
0.15,-6.32033e-20,-0.0489583,1
0.15,-6.32034e-20,-0.0479166,1
0.15,-6.32037e-20,-0.0468749,1
0.15,-6.32039e-20,-0.0458333,1
0.15,-6.3204e-20,-0.0447916,1
0.15,-6.3204e-20,-0.04375,1
0.15,-6.32041e-20,-0.0427083,1
0.15,-6.32041e-20,-0.0416667,1
0.15,-6.32039e-20,-0.040625,1
0.15,-6.32036e-20,-0.0395834,1
0.15,-6.32037e-20,-0.0385417,1
0.15,-6.32038e-20,-0.0375,1
0.15,-6.32037e-20,-0.0364583,1
0.15,-6.32037e-20,-0.0354167,1
0.15,-6.32037e-20,-0.034375,1
0.15,-6.32036e-20,-0.0333333,1
0.15,-6.32036e-20,-0.0322916,1
0.15,0,-0.03125,1
0.15,-6.32036e-20,-0.03125,1
0.15,2.99269e-19,-0.0308674,1
0.15,2.08643e-08,-0.0306391,1
0.15,5.98538e-19,-0.0304848,1
0.15,2.08643e-08,-0.0299029,1
0.15,2.58494e-26,-0.0291667,1
0.15,2.08643e-08,-0.0291667,1
0.15,-7.37518e-20,-0.028125,1
0.15,-1.47504e-19,-0.0270833,1
0.15,-1.47504e-19,-0.0260416,1
0.15,-1.47503e-19,-0.025,1
0.15,-1.47503e-19,-0.0239583,1
0.15,-1.47503e-19,-0.0229167,1
0.15,-1.47503e-19,-0.021875,1
0.15,-1.47503e-19,-0.0208333,1
0.15,-1.47503e-19,-0.0197916,1
0.15,-1.47503e-19,-0.01875,1
0.15,-1.47503e-19,-0.0177083,1
0.15,-1.47503e-19,-0.0166667,1
0.15,-1.47503e-19,-0.015625,1
0.15,-1.47503e-19,-0.0145834,1
0.15,-1.47503e-19,-0.0135417,1
0.15,-1.47503e-19,-0.0125,1
0.15,-1.47503e-19,-0.0114583,1
0.15,-1.47504e-19,-0.0104167,0.999999
0.15,-1.47504e-19,-0.00937501,0.999999
0.15,-1.47504e-19,-0.00833333,0.999997
0.15,-1.47504e-19,-0.00758787,0.999997
0.15,-1.47504e-19,-0.00684242,0.999996
0.15,-1.47504e-19,-0.00654621,0.999996
0.15,-1.47504e-19,-0.00625,0.999979
0.15,-1.47504e-19,-0.00520834,0.999979
0.15,-1.47504e-19,-0.00416667,0.999905
0.15,-1.47504e-19,-0.003125,0.999905
0.15,-1.47504e-19,-0.00208333,0.999615
0.15,-1.47504e-19,-0.00104166,0.999615
0.15,-1.47504e-19,2.17586e-11,0.998543
0.15,-1.47504e-19,0.00104167,0.998543
0.15,-1.47504e-19,0.00208333,0.998543
0.15,0,0.00208333,0.994963
0.15,-6.01285e-19,0.003125,0.994963
0.15,-1.20257e-18,0.00416667,0.967526
0.15,-1.20257e-18,0.00520833,0.967526
0.15,-1.20257e-18,0.00625,0.685882
0.15,-1.20257e-18,0.00729167,0.685882
0.15,-1.20257e-18,0.00833333,0.176913
0.15,-1.20257e-18,0.00937501,0.176913
0.15,-1.20257e-18,0.0104167,0.023078
0.15,-1.20257e-18,0.0114583,0.023078
0.15,-1.20257e-18,0.0125,0.00291632
0.15,-1.20257e-18,0.0135417,0.00291632
0.15,-1.20257e-18,0.0145834,0.000163529
0.15,-1.20257e-18,0.015625,0.000163529
0.15,-1.20257e-18,0.0166667,7.72873e-06
0.15,-1.20257e-18,0.0177083,7.72873e-06
0.15,-1.20257e-18,0.01875,1.1829e-06
0.15,-1.20257e-18,0.0192755,1.1829e-06
0.15,-1.20257e-18,0.0198009,1.21001e-06
0.15,-1.20257e-18,0.0203171,1.21001e-06
0.15,-1.20257e-18,0.0208333,3.87488e-07
0.15,-1.20257e-18,0.021875,3.87488e-07
0.15,-1.20257e-18,0.0229167,1.3297e-07
0.15,-1.20257e-18,0.0239583,1.3297e-07
0.15,-1.20257e-18,0.025,4.51462e-08
0.15,-1.20257e-18,0.0260417,4.51462e-08
0.15,-1.20257e-18,0.0270833,1.72274e-08
0.15,-1.20257e-18,0.028125,1.72274e-08
0.15,-1.20257e-18,0.0291667,7.96504e-09
0.15,-1.20257e-18,0.0302083,7.96504e-09
0.15,-1.20257e-18,0.03125,4.4411e-09
0.15,-1.20257e-18,0.0320286,4.4411e-09
0.15,-1.20257e-18,0.0328073,5.22558e-09
0.15,-1.20257e-18,0.0330703,5.22558e-09
0.15,-1.20257e-18,0.0333333,4.37e-09
