x,y,z,alpha.water
0,0.125,-0.125,1
3.25261e-19,0.125,-0.120834,1
6.50521e-19,0.125,-0.116667,1
-1.6263e-19,0.125,-0.116667,1
8.40257e-19,0.125,-0.1125,1
1.84314e-18,0.125,-0.108333,1
1.68051e-18,0.125,-0.104166,1
1.51788e-18,0.125,-0.1,1
1.68051e-18,0.125,-0.0958334,1
1.84314e-18,0.125,-0.0916667,1
2.00577e-18,0.125,-0.0875,1
2.1684e-18,0.125,-0.0833333,1
2.22261e-18,0.125,-0.08125,1
2.27682e-18,0.125,-0.0791667,1
2.49366e-18,0.125,-0.0781251,1
2.71051e-18,0.125,-0.0770835,1
2.63935e-18,0.125,-0.0760417,1
2.5682e-18,0.125,-0.075,1
2.69356e-18,0.125,-0.0739583,1
2.81893e-18,0.125,-0.0729167,1
2.92735e-18,0.125,-0.071875,1
3.03577e-18,0.125,-0.0708333,1
2.87314e-18,0.125,-0.0697917,1
2.71051e-18,0.125,-0.0687501,1
2.50722e-18,0.125,-0.0677084,1
2.30393e-18,0.125,-0.0666667,1
2.34459e-18,0.125,-0.065625,1
2.38524e-18,0.125,-0.0645834,1.00001
2.43945e-18,0.125,-0.0635417,1.00001
2.49366e-18,0.125,-0.0625,1.00001
2.60209e-18,0.125,-0.0614583,1.00001
2.71051e-18,0.125,-0.0604167,1.00001
2.83756e-18,0.125,-0.059375,1.00001
2.96462e-18,0.125,-0.0583333,1
2.78335e-18,0.125,-0.0572916,1
2.60209e-18,0.125,-0.05625,1
2.60209e-18,0.125,-0.0552083,1
2.60209e-18,0.125,-0.0541667,1
2.71051e-18,0.125,-0.053125,1
2.81893e-18,0.125,-0.0520833,1
2.87314e-18,0.125,-0.0510416,1
2.92735e-18,0.125,-0.05,1
2.87314e-18,0.125,-0.0489583,1
2.81893e-18,0.125,-0.0479167,1
2.92735e-18,0.125,-0.046875,1
3.03577e-18,0.125,-0.0458333,1
2.92735e-18,0.125,-0.0447916,1
2.81893e-18,0.125,-0.04375,1
2.83587e-18,0.125,-0.0427083,1
2.85281e-18,0.125,-0.0416667,1
2.83587e-18,0.125,-0.040625,1
2.81893e-18,0.125,-0.0395834,1
2.92735e-18,0.125,-0.0385417,1
3.03577e-18,0.125,-0.0375,1
3.03577e-18,0.125,-0.0364583,1
3.03577e-18,0.125,-0.0354166,1
3.04932e-18,0.125,-0.034375,1
3.06287e-18,0.125,-0.0333333,1
3.10353e-18,0.125,-0.0322916,1
3.14419e-18,0.125,-0.03125,1
3.14419e-18,0.125,-0.0302083,1
3.14419e-18,0.125,-0.0291667,1
3.14419e-18,0.125,-0.028125,1
3.14419e-18,0.125,-0.0270833,1
3.0273e-18,0.125,-0.0260416,1
2.91041e-18,0.125,-0.025,1
2.91888e-18,0.125,-0.0239583,1
2.92735e-18,0.125,-0.0229167,1
2.92735e-18,0.125,-0.021875,1
2.92735e-18,0.125,-0.0208333,1
2.92735e-18,0.125,-0.0197916,1
2.92735e-18,0.125,-0.01875,1
2.92057e-18,0.125,-0.0177083,1
2.91379e-18,0.125,-0.0166667,1
2.97478e-18,0.125,-0.015625,1
3.03577e-18,0.125,-0.0145833,1
3.03577e-18,0.125,-0.0135417,1
3.03577e-18,0.125,-0.0125,0.999998
3.03577e-18,0.125,-0.0114583,0.999998
3.03577e-18,0.125,-0.0104167,0.999977
3.03577e-18,0.125,-0.00937501,0.999977
3.03577e-18,0.125,-0.00833333,0.999977
-8.80914e-20,0.125,-0.00833333,0.999621
-2.60886e-19,0.125,-0.00729167,0.999621
-4.33681e-19,0.125,-0.00625,0.992906
-4.33681e-19,0.125,-0.00520833,0.992906
-4.33681e-19,0.125,-0.00416667,0.90206
-4.33681e-19,0.125,-0.003125,0.90206
-4.33681e-19,0.125,-0.00208333,0.454149
-4.30293e-19,0.125,-0.00104166,0.454149
-4.26905e-19,0.125,4.34112e-11,0.0764689
-4.84503e-19,0.125,0.00104167,0.0764689
-5.42101e-19,0.125,0.00208334,0.00810717
-5.42101e-19,0.125,0.00312501,0.00810717
-5.42101e-19,0.125,0.00416667,0.00047373
-5.42101e-19,0.125,0.00520834,0.00047373
-5.42101e-19,0.125,0.00625,2.6213e-05
-5.35325e-19,0.125,0.00729167,2.6213e-05
-5.28549e-19,0.125,0.00833333,3.3938e-06
-5.35325e-19,0.125,0.00937502,3.3938e-06
-5.42101e-19,0.125,0.0104167,5.6853e-07
-5.42101e-19,0.125,0.0114584,5.6853e-07
-5.42101e-19,0.125,0.0125,8.01029e-08
-5.42101e-19,0.125,0.0135417,8.01029e-08
-5.42101e-19,0.125,0.0145834,9.53655e-09
-4.76033e-19,0.125,0.0156251,9.53655e-09
-4.09964e-19,0.125,0.0166667,1.02779e-09
-4.21822e-19,0.125,0.0177084,1.02779e-09
-4.33681e-19,0.125,0.01875,1.97401e-10
-4.33681e-19,0.125,0.0197917,1.97401e-10
-4.33681e-19,0.125,0.0208333,1.13241e-10
-4.87891e-19,0.125,0.021875,1.13241e-10
-5.42101e-19,0.125,0.0229167,2.23604e-10
-4.76033e-19,0.125,0.0239584,2.23604e-10
-4.09964e-19,0.125,0.025,1.36963e-09
-5.30243e-19,0.125,0.0260417,1.36963e-09
-6.50521e-19,0.125,0.0270833,7.02323e-09
-6.50521e-19,0.125,0.028125,7.02323e-09
-6.50521e-19,0.125,0.0291667,7.7527e-09
-6.50521e-19,0.125,0.0302084,7.7527e-09
-6.50521e-19,0.125,0.03125,5.20364e-09
-7.67412e-19,0.125,0.0322916,5.20364e-09
-8.84302e-19,0.125,0.0333333,1.98991e-09
-9.84252e-19,0.125,0.034375,1.98991e-09
-1.0842e-18,0.125,0.0354166,1.79364e-09
-9.21572e-19,0.125,0.0364583,1.79364e-09
-7.58942e-19,0.125,0.0375,2.20044e-09
-1.02999e-18,0.125,0.0385417,2.20044e-09
-1.30104e-18,0.125,0.0395834,2.52376e-09
-1.3129e-18,0.125,0.0406251,2.52376e-09
-1.32476e-18,0.125,0.0416667,2.14983e-09
-1.42132e-18,0.125,0.0427084,2.14983e-09
-1.51788e-18,0.125,0.04375,1.77505e-09
-1.46367e-18,0.125,0.0447917,1.77505e-09
-1.40946e-18,0.125,0.0458334,1.87116e-09
-1.19262e-18,0.125,0.0468751,1.87116e-09
-9.75782e-19,0.125,0.0479168,2.08434e-09
-9.36818e-19,0.125,0.0489585,2.08434e-09
-8.97855e-19,0.125,0.0500001,1.981e-09
-8.28398e-19,0.125,0.0510418,1.981e-09
-7.58942e-19,0.125,0.0520835,1.8021e-09
-7.04731e-19,0.125,0.0531252,1.8021e-09
-6.50521e-19,0.125,0.0541668,1.8207e-09
-5.42101e-19,0.125,0.0552085,1.8207e-09
-4.33681e-19,0.125,0.0562502,1.93917e-09
-3.26955e-19,0.125,0.0572919,1.93917e-09
-2.20229e-19,0.125,0.0583335,1.94201e-09
-2.18535e-19,0.125,0.0593752,1.94201e-09
-2.1684e-19,0.125,0.0604169,1.84612e-09
