x,y,z,alpha.water
0.125,7.708e-19,-0.120655,1
0.125,7.81811e-19,-0.11753,1
0.125,7.92823e-19,-0.114405,1
0.125,8.02987e-19,-0.11128,1
0.125,8.13152e-19,-0.108155,1
0.125,-1.35525e-20,-0.108155,1.00001
0.125,-1.52466e-19,-0.10503,1.00001
0.125,-2.91379e-19,-0.101905,1.00001
0.125,-2.91379e-19,-0.0987799,1.00001
0.125,-2.91379e-19,-0.0956549,1
0.125,-2.91379e-19,-0.09253,1
0.125,-2.91379e-19,-0.0894051,1
0.125,-2.92226e-19,-0.0862801,1
0.125,-2.93073e-19,-0.0831551,1
0.125,-2.82062e-19,-0.0800301,1
0.125,-2.71051e-19,-0.076905,1
0.125,-2.66815e-19,-0.07378,1
0.125,-2.6258e-19,-0.070655,1
0.125,-2.56651e-19,-0.06753,1
0.125,-2.50722e-19,-0.0644049,1
0.125,-2.52416e-19,-0.0612799,1
0.125,-2.5411e-19,-0.058155,1
0.125,-2.55804e-19,-0.05503,1
0.125,-2.57498e-19,-0.0519049,0.999999
0.125,-2.55804e-19,-0.0487799,0.999999
0.125,-2.5411e-19,-0.0456549,0.999998
0.125,-2.38863e-19,-0.0425299,0.999998
0.125,-2.23617e-19,-0.0394048,0.999999
0.125,-2.27005e-19,-0.0362798,0.999999
0.125,-2.30393e-19,-0.0331548,1
0.125,-2.27005e-19,-0.0300298,1
0.125,-2.23617e-19,-0.0269048,1
0.125,-2.23617e-19,-0.0237798,1
0.125,-2.23617e-19,-0.0206547,1
0.125,6.77626e-21,-0.0206547,1
0.125,2.87991e-19,-0.0175297,1
0.125,5.69206e-19,-0.0144047,1
0.125,5.73441e-19,-0.0112797,1
0.125,5.77676e-19,-0.00815461,1
0.125,5.80218e-19,-0.00502955,1
0.125,5.82759e-19,-0.00190449,0.999991
0.125,5.87841e-19,0.00122055,0.999991
0.125,5.92923e-19,0.00434559,0.701302
0.125,5.81065e-19,0.00747064,0.701302
0.125,5.69206e-19,0.0105957,0.179022
0.125,5.64971e-19,0.0137207,0.179022
0.125,5.60736e-19,0.0168458,0.0262415
0.125,5.58195e-19,0.0199708,0.0262415
0.125,5.55654e-19,0.0230959,0.0033188
0.125,5.5396e-19,0.0262209,0.0033188
0.125,5.52265e-19,0.0293459,0.000263361
0.125,5.47183e-19,0.0324709,0.000263361
0.125,5.42101e-19,0.0355959,1.52031e-05
0.125,5.34478e-19,0.0387209,1.52031e-05
0.125,5.26854e-19,0.0418459,1.51051e-06
0.125,5.20925e-19,0.0449709,1.51051e-06
0.125,5.14996e-19,0.0480959,1.58836e-07
0.125,5.09067e-19,0.0512208,1.58836e-07
0.125,5.03138e-19,0.0543458,1.64743e-08
0.125,5.22619e-19,0.0574707,1.64743e-08
0.125,5.42101e-19,0.0605957,1.64951e-09
0.125,5.29396e-19,0.0637207,1.64951e-09
0.125,5.1669e-19,0.0668456,1.64954e-10
0.125,5.12455e-19,0.0699706,1.64954e-10
0.125,5.0822e-19,0.0730955,1.59414e-11
0.125,4.99749e-19,0.0762205,1.59414e-11
0.125,4.91279e-19,0.0793454,1.44143e-12
0.125,4.76033e-19,0.0824704,1.44143e-12
0.125,4.60786e-19,0.0855954,1.23557e-13
0.125,4.56551e-19,0.0887204,1.23557e-13
0.125,4.52316e-19,0.0918454,1.00792e-14
0.125,4.46386e-19,0.0949705,1.00792e-14
0.125,4.40457e-19,0.0980955,7.96844e-16
0.125,4.43845e-19,0.101221,7.96844e-16
0.125,4.47233e-19,0.104346,4.11436e-16
0.125,4.50622e-19,0.110604,4.11436e-16
0.125,4.5401e-19,0.116863,1.72573e-17
0.125,4.3961e-19,0.123113,1.72573e-17
0.125,4.25211e-19,0.129364,6.37383e-18
