x,y,z,alpha.water
0.15,0,-0.125,1.00001
0.15,-4.1359e-25,-0.125,1.00001
0.15,1.68945e-19,-0.120833,1.00001
0.15,3.3789e-19,-0.116667,1.00001
0.15,3.37893e-19,-0.1125,1.00001
0.15,3.37897e-19,-0.108333,1.00001
0.15,3.37894e-19,-0.104166,1.00001
0.15,3.37892e-19,-0.1,1.00001
0.15,3.37893e-19,-0.0958333,1.00001
0.15,3.37894e-19,-0.0916667,1.00001
0.15,3.37895e-19,-0.0875,1.00001
0.15,3.37897e-19,-0.0833333,1.00001
0.15,3.37894e-19,-0.08125,1.00001
0.15,3.37892e-19,-0.0791667,1.00001
0.15,3.37893e-19,-0.0781249,1.00001
0.15,3.37893e-19,-0.0770831,1.00001
0.15,3.37897e-19,-0.0760416,1.00001
0.15,3.37902e-19,-0.075,1.00001
0.15,3.379e-19,-0.0739583,1.00001
0.15,3.37898e-19,-0.0729166,1.00001
0.15,3.37899e-19,-0.0718749,1.00001
0.15,3.37901e-19,-0.0708333,1.00001
0.15,3.379e-19,-0.0697916,1.00001
0.15,3.379e-19,-0.0687499,1.00001
0.15,3.37901e-19,-0.0677083,1.00001
0.15,3.37902e-19,-0.0666667,1.00001
0.15,3.37902e-19,-0.065625,1.00001
0.15,3.37901e-19,-0.0645833,1.00001
0.15,3.379e-19,-0.0635416,1.00001
0.15,3.37898e-19,-0.0625,1.00001
0.15,3.37898e-19,-0.0614583,1.00001
0.15,3.37898e-19,-0.0604166,1.00001
0.15,3.37899e-19,-0.059375,1.00001
0.15,3.379e-19,-0.0583333,1.00001
0.15,3.379e-19,-0.0572916,1.00001
0.15,3.37899e-19,-0.05625,1.00001
0.15,3.37898e-19,-0.0552083,1.00001
0.15,3.37898e-19,-0.0541667,1.00001
0.15,3.37899e-19,-0.053125,1.00001
0.15,3.379e-19,-0.0520833,1.00001
0.15,3.37901e-19,-0.0510417,1.00001
0.15,3.37902e-19,-0.05,1.00001
0.15,3.37901e-19,-0.0489584,1.00001
0.15,3.37901e-19,-0.0479167,1.00001
0.15,3.37901e-19,-0.046875,1.00001
0.15,3.37901e-19,-0.0458333,1.00001
0.15,3.379e-19,-0.0447917,1.00001
0.15,3.379e-19,-0.04375,1.00001
0.15,3.379e-19,-0.0427084,1.00001
0.15,3.379e-19,-0.0416667,1.00001
0.15,3.379e-19,-0.040625,1.00001
0.15,3.379e-19,-0.0395834,1.00001
0.15,3.379e-19,-0.0385417,1.00001
0.15,3.379e-19,-0.0375,1.00001
0.15,3.379e-19,-0.0364583,1.00001
0.15,3.379e-19,-0.0354166,1.00001
0.15,3.379e-19,-0.0353042,1.00001
0.15,3.379e-19,-0.0351918,1.00001
0.15,3.379e-19,-0.0342625,1.00001
0.15,3.379e-19,-0.0333333,1.00001
0.15,3.379e-19,-0.0322917,1.00001
0.15,3.379e-19,-0.03125,1.00001
0.15,3.379e-19,-0.0302084,1.00001
0.15,3.379e-19,-0.0291667,1
0.15,3.379e-19,-0.0281251,1
0.15,3.379e-19,-0.0270834,1
0.15,0,-0.0270834,1
0.15,-1.26071e-20,-0.0260417,1
0.15,-2.52141e-20,-0.025,1
0.15,-2.52136e-20,-0.0239583,1
0.15,-2.52131e-20,-0.0229166,1
0.15,-2.5213e-20,-0.021875,1
0.15,-2.52129e-20,-0.0208333,0.999997
0.15,-2.52132e-20,-0.0197917,0.999997
0.15,-2.52135e-20,-0.01875,0.999986
0.15,-2.52131e-20,-0.0177083,0.999986
0.15,-2.52127e-20,-0.0166667,0.999951
0.15,-2.52126e-20,-0.0156251,0.999951
0.15,-2.52126e-20,-0.0145834,0.99983
0.15,-2.52117e-20,-0.0135417,0.99983
0.15,-2.52108e-20,-0.0125,0.999454
0.15,-2.52111e-20,-0.0114584,0.999454
0.15,-2.52114e-20,-0.0104167,0.998323
0.15,-2.52126e-20,-0.00937502,0.998323
0.15,-2.52137e-20,-0.00833333,0.995091
0.15,-2.52142e-20,-0.00729167,0.995091
0.15,-2.52146e-20,-0.00625,0.986064
0.15,-2.52144e-20,-0.00520834,0.986064
0.15,-2.52142e-20,-0.00416667,0.89981
0.15,-2.52146e-20,-0.003125,0.89981
0.15,-2.52149e-20,-0.00208333,0.470118
0.15,-2.52146e-20,-0.00104166,0.470118
0.15,-2.52143e-20,6.12981e-12,0.470118
0.15,-2.06795e-25,6.12981e-12,0.100349
0.15,-1.09399e-19,0.00104167,0.100349
0.15,-2.18799e-19,0.00208333,0.0214977
0.15,-2.18799e-19,0.003125,0.0214977
0.15,-2.18799e-19,0.00416667,0.00336814
0.15,-2.18799e-19,0.00520833,0.00336814
0.15,-2.18799e-19,0.00625,0.000460513
0.15,-2.18799e-19,0.00729166,0.000460513
0.15,-2.18799e-19,0.00833333,6.29339e-05
0.15,-2.18799e-19,0.00937501,6.29339e-05
0.15,-2.18799e-19,0.0104167,8.57307e-06
0.15,-2.18799e-19,0.0110206,8.57307e-06
0.15,-2.18799e-19,0.0116245,8.59343e-06
0.15,-2.18799e-19,0.0120623,8.59343e-06
0.15,-2.18799e-19,0.0125,1.12905e-06
0.15,-2.18799e-19,0.0135417,1.12905e-06
0.15,-2.18799e-19,0.0145834,1.41762e-07
0.15,-2.18798e-19,0.0156251,1.41762e-07
0.15,-2.18798e-19,0.0166667,1.83938e-08
0.15,-2.18798e-19,0.0174146,1.83938e-08
0.15,-2.18798e-19,0.0181625,1.80933e-08
0.15,-2.18798e-19,0.0184562,1.80933e-08
0.15,-2.18798e-19,0.01875,3.81089e-09
0.15,-2.18798e-19,0.0197917,3.81089e-09
0.15,-2.18798e-19,0.0208333,2.15075e-09
0.15,-2.18798e-19,0.021875,2.15075e-09
0.15,-2.18798e-19,0.0229166,2.02578e-09
0.15,-2.18797e-19,0.0239583,2.02578e-09
0.15,-2.18797e-19,0.025,2.33527e-09
0.15,-2.18797e-19,0.0260417,2.33527e-09
0.15,-2.18797e-19,0.0270834,2.43313e-09
0.15,-2.18797e-19,0.0281251,2.43313e-09
0.15,-2.18797e-19,0.0291667,2.21926e-09
0.15,-2.18797e-19,0.0302084,2.21926e-09
0.15,-2.18797e-19,0.03125,1.95576e-09
0.15,-2.18797e-19,0.0322917,1.95576e-09
0.15,-2.18797e-19,0.0333333,1.78168e-09
0.15,-2.18797e-19,0.034375,1.78168e-09
0.15,-2.18797e-19,0.0354166,1.59071e-09
0.15,-2.18797e-19,0.0364583,1.59071e-09
0.15,-2.18798e-19,0.0375,1.39196e-09
0.15,-2.18797e-19,0.0385417,1.39196e-09
0.15,-2.18797e-19,0.0395833,1.39196e-09
0.15,2.09311e-08,0.0395833,1.22904e-09
0.15,2.09311e-08,0.040625,1.22904e-09
0.15,2.09311e-08,0.0416667,1.11419e-09
0.15,2.09311e-08,0.0427083,1.11419e-09
0.15,2.09311e-08,0.04375,1.05719e-09
0.15,2.09311e-08,0.0447916,1.05719e-09
0.15,2.09311e-08,0.0458333,1.02307e-09
0.15,2.09311e-08,0.046875,1.02307e-09
0.15,2.09311e-08,0.0479167,9.94804e-10
0.15,2.09311e-08,0.0489583,9.94804e-10
0.15,2.09311e-08,0.05,9.72943e-10
0.15,2.09311e-08,0.0510417,9.72943e-10
0.15,2.09311e-08,0.0520833,9.56351e-10
0.15,2.09311e-08,0.053125,9.56351e-10
0.15,2.09311e-08,0.0541667,9.47499e-10
0.15,2.09311e-08,0.0552084,9.47499e-10
0.15,2.09311e-08,0.0562501,9.43399e-10
0.15,2.09311e-08,0.0572917,9.43399e-10
0.15,2.09311e-08,0.0583334,9.40214e-10
0.15,2.09311e-08,0.059375,9.40214e-10
0.15,2.09311e-08,0.0604167,9.32398e-10
0.15,2.09311e-08,0.0614584,9.32398e-10
0.15,2.09311e-08,0.0625,9.07205e-10
0.15,2.09311e-08,0.0635417,9.07205e-10
0.15,2.09311e-08,0.0645833,8.66537e-10
0.15,2.09311e-08,0.065625,8.66537e-10
0.15,2.09311e-08,0.0666667,8.28629e-10
0.15,2.09311e-08,0.0677084,8.28629e-10
0.15,2.09311e-08,0.0687501,8.00992e-10
0.15,2.09311e-08,0.0697918,8.00992e-10
0.15,2.09311e-08,0.0708334,7.8227e-10
0.15,2.09311e-08,0.0718751,7.8227e-10
0.15,2.09311e-08,0.0729167,7.70657e-10
0.15,2.09311e-08,0.0739585,7.70657e-10
0.15,2.09311e-08,0.0750002,7.63861e-10
0.15,2.09311e-08,0.0760418,7.63861e-10
0.15,2.09311e-08,0.0770834,7.59537e-10
0.15,2.09311e-08,0.0781252,7.59537e-10
0.15,2.09311e-08,0.0791669,7.58786e-10
0.15,2.09311e-08,0.0812503,7.58786e-10
0.15,2.09311e-08,0.0833337,1.07702e-09
0.15,2.09311e-08,0.0875008,1.07702e-09
0.15,2.09311e-08,0.0916678,1.052e-09
0.15,2.09311e-08,0.0955637,1.052e-09
0.15,2.09311e-08,0.0994595,1.02858e-09
0.15,2.09311e-08,0.0997308,1.02858e-09
0.15,2.09311e-08,0.100002,9.08075e-10
0.15,2.09311e-08,0.10026,9.08075e-10
0.15,2.09311e-08,0.100518,9.2153e-10
0.15,2.09311e-08,0.104427,9.2153e-10
0.15,2.09311e-08,0.108337,8.85257e-10
0.15,2.09311e-08,0.112505,8.85257e-10
0.15,0,0.116672,9.04971e-10
0.15,2.09311e-08,0.116672,8.85257e-10
0.15,7.01433e-19,0.12084,9.04971e-10
0.15,1.40287e-18,0.125008,9.11211e-10
