x,y,z,alpha.water
0,0.1,-0.125,1
6.43745e-19,0.1,-0.120834,1
1.28749e-18,0.1,-0.116667,1
1.49078e-19,0.1,-0.116667,1
2.60886e-19,0.1,-0.1125,1
3.72694e-19,0.1,-0.108333,1
8.36869e-19,0.1,-0.104166,1
1.30104e-18,0.1,-0.1,1
1.10792e-18,0.1,-0.0958333,1
9.14796e-19,0.1,-0.0916667,1
5.83817e-19,0.1,-0.0875,1
2.52839e-19,0.1,-0.0833333,1
2.3484e-19,0.1,-0.08125,1
2.1684e-19,0.1,-0.0791667,1
5.42101e-20,0.1,-0.0781251,1
-1.0842e-19,0.1,-0.0770834,1
-6.32098e-20,0.1,-0.0760417,1
-1.79995e-20,0.1,-0.075,1.00001
-6.32098e-20,0.1,-0.0739584,1.00001
-1.0842e-19,0.1,-0.0729167,1.00001
-5.42101e-20,0.1,-0.071875,1.00001
0,0.1,-0.0708333,1.00001
-1.6263e-19,0.1,-0.0697917,1.00001
-3.25261e-19,0.1,-0.06875,1.00001
-2.59404e-20,0.1,-0.0677084,1.00001
2.7338e-19,0.1,-0.0666667,1.00001
2.4511e-19,0.1,-0.0656251,1.00001
2.1684e-19,0.1,-0.0645834,1.00001
2.1684e-19,0.1,-0.0635417,1.00001
2.1684e-19,0.1,-0.0625,1.00001
1.6263e-19,0.1,-0.0614583,1.00001
1.0842e-19,0.1,-0.0604167,1.00001
1.79571e-19,0.1,-0.059375,1.00001
2.50722e-19,0.1,-0.0583333,1.00001
2.33781e-19,0.1,-0.0572916,1.00001
2.1684e-19,0.1,-0.05625,1.00001
2.1684e-19,0.1,-0.0552083,1.00001
2.1684e-19,0.1,-0.0541667,1.00001
2.1684e-19,0.1,-0.053125,1.00001
2.1684e-19,0.1,-0.0520834,1.00001
1.29914e-19,0.1,-0.0510417,1.00001
4.29869e-20,0.1,-0.05,1.00001
-3.27166e-20,0.1,-0.0489583,1.00001
-1.0842e-19,0.1,-0.0479167,1.00001
5.42101e-20,0.1,-0.046875,1.00001
2.1684e-19,0.1,-0.0458333,1.00001
1.6263e-19,0.1,-0.0447917,1.00001
1.0842e-19,0.1,-0.04375,1.00001
1.3002e-19,0.1,-0.0427084,1.00001
1.51619e-19,0.1,-0.0416667,1
1.8423e-19,0.1,-0.040625,1
2.1684e-19,0.1,-0.0395834,1
2.1684e-19,0.1,-0.0385417,1
2.1684e-19,0.1,-0.0375,1
2.1684e-19,0.1,-0.0364584,1
2.1684e-19,0.1,-0.0354167,1
1.72318e-19,0.1,-0.034375,1
1.27796e-19,0.1,-0.0333333,1
1.18108e-19,0.1,-0.0322917,1
1.0842e-19,0.1,-0.03125,1
1.0842e-19,0.1,-0.0302084,1
1.0842e-19,0.1,-0.0291667,1
0,0.1,-0.028125,1
-1.0842e-19,0.1,-0.0270833,1
-1.17764e-19,0.1,-0.0260417,1
-1.27108e-19,0.1,-0.025,1
-1.17764e-19,0.1,-0.0239584,1
-1.0842e-19,0.1,-0.0229167,1
-1.0842e-19,0.1,-0.021875,1
-1.0842e-19,0.1,-0.0208333,1
-1.0842e-19,0.1,-0.0197917,1
-1.0842e-19,0.1,-0.01875,1
-1.71948e-19,0.1,-0.0177083,1
