x,y,z,alpha.water
0,0.15,-0.125,1
-3.25261e-19,0.15,-0.120833,1
2.71051e-19,0.15,-0.116667,1
-6.50521e-19,0.15,-0.116667,1
3.79471e-19,0.15,-0.1125,1
4.87891e-19,0.15,-0.108333,1
1.00289e-18,0.15,-0.104167,1
1.51788e-18,0.15,-0.1,1
1.19262e-18,0.15,-0.0958333,1
8.67362e-19,0.15,-0.0916667,1
7.04731e-19,0.15,-0.0875,1
5.42101e-19,0.15,-0.0833333,1
2.71051e-19,0.15,-0.08125,1
0,0.15,-0.0791667,1
-1.0842e-19,0.15,-0.0781251,1
-2.1684e-19,0.15,-0.0770835,1
-2.1684e-19,0.15,-0.0760417,1
-2.1684e-19,0.15,-0.075,1
-5.42101e-20,0.15,-0.0739583,1
1.0842e-19,0.15,-0.0729166,1
2.43945e-19,0.15,-0.071875,1
3.79471e-19,0.15,-0.0708333,1
5.14996e-19,0.15,-0.0697917,1
6.50521e-19,0.15,-0.0687501,1
5.96311e-19,0.15,-0.0677084,1
5.42101e-19,0.15,-0.0666667,1
5.42101e-19,0.15,-0.065625,1
5.42101e-19,0.15,-0.0645834,1
4.87891e-19,0.15,-0.0635417,1
4.33681e-19,0.15,-0.0625,1
4.87891e-19,0.15,-0.0614583,1
5.42101e-19,0.15,-0.0604166,1
7.04731e-19,0.15,-0.059375,1
8.67362e-19,0.15,-0.0583333,1
9.21572e-19,0.15,-0.0572917,1
9.75782e-19,0.15,-0.05625,1
1.01644e-18,0.15,-0.0552084,1
1.0571e-18,0.15,-0.0541667,1
9.62229e-19,0.15,-0.0531251,1
8.67362e-19,0.15,-0.0520834,1
9.21572e-19,0.15,-0.0510417,1
9.75782e-19,0.15,-0.05,1
1.02999e-18,0.15,-0.0489584,1
1.0842e-18,0.15,-0.0479167,1
1.02999e-18,0.15,-0.046875,1
9.75782e-19,0.15,-0.0458333,1
8.67362e-19,0.15,-0.0447917,1
7.58942e-19,0.15,-0.04375,1
8.13152e-19,0.15,-0.0427084,1
8.67362e-19,0.15,-0.0416667,1
9.75782e-19,0.15,-0.040625,1
1.0842e-18,0.15,-0.0395834,0.999999
1.11131e-18,0.15,-0.0385417,0.999999
1.13841e-18,0.15,-0.0375,0.999997
1.16552e-18,0.15,-0.0364583,0.999997
1.19262e-18,0.15,-0.0354166,0.999998
1.13841e-18,0.15,-0.034375,0.999998
1.0842e-18,0.15,-0.0333333,1
1.24683e-18,0.15,-0.0322917,1
1.40946e-18,0.15,-0.03125,1
1.40946e-18,0.15,-0.0302084,1
1.40946e-18,0.15,-0.0291667,0.999999
1.40946e-18,0.15,-0.028125,0.999999
1.40946e-18,0.15,-0.0270833,0.999999
1.46367e-18,0.15,-0.0260417,0.999999
1.51788e-18,0.15,-0.025,1
1.51788e-18,0.15,-0.0239584,1
1.51788e-18,0.15,-0.0229167,1
1.49078e-18,0.15,-0.021875,1
1.46367e-18,0.15,-0.0208333,1
1.43657e-18,0.15,-0.0197917,1
1.40946e-18,0.15,-0.01875,1
1.35525e-18,0.15,-0.0177084,1
1.30104e-18,0.15,-0.0166667,1
1.30104e-18,0.15,-0.0156251,1
1.30104e-18,0.15,-0.0145834,1
1.30104e-18,0.15,-0.0135417,1
1.30104e-18,0.15,-0.0125,1
-2.43945e-19,0.15,-0.0125,1
-4.47233e-19,0.15,-0.0114583,1
-6.50521e-19,0.15,-0.0104167,1
-7.04731e-19,0.15,-0.00937502,1
-7.58942e-19,0.15,-0.00833333,0.999995
-7.58942e-19,0.15,-0.00729167,0.999995
-7.58942e-19,0.15,-0.00625,0.999746
-7.45389e-19,0.15,-0.00520833,0.999746
-7.31836e-19,0.15,-0.00416667,0.994183
-8.53809e-19,0.15,-0.003125,0.994183
-9.75782e-19,0.15,-0.00208333,0.888095
-9.75782e-19,0.15,-0.00104166,0.888095
-9.75782e-19,0.15,1.41677e-11,0.367719
-9.75782e-19,0.15,0.00104167,0.367719
-9.75782e-19,0.15,0.00208334,0.0356822
-9.75782e-19,0.15,0.003125,0.0356822
-9.75782e-19,0.15,0.00416667,0.000529813
-1.02999e-18,0.15,0.00520833,0.000529813
-1.0842e-18,0.15,0.00625,3.2576e-05
-9.75782e-19,0.15,0.00729166,3.2576e-05
-8.67362e-19,0.15,0.00833333,6.1885e-06
-8.67362e-19,0.15,0.00937501,6.1885e-06
-8.67362e-19,0.15,0.0104167,2.81254e-06
-8.94467e-19,0.15,0.0114583,2.81254e-06
-9.21572e-19,0.15,0.0125,4.77874e-07
-9.48677e-19,0.15,0.0135417,4.77874e-07
-9.75782e-19,0.15,0.0145834,3.63462e-08
-1.0842e-18,0.15,0.015625,3.63462e-08
-1.19262e-18,0.15,0.0166667,2.98505e-09
-1.19262e-18,0.15,0.0177083,2.98505e-09
-1.19262e-18,0.15,0.01875,2.60558e-10
-1.13841e-18,0.15,0.0197916,2.60558e-10
-1.0842e-18,0.15,0.0208333,3.81058e-11
-1.13841e-18,0.15,0.021875,3.81058e-11
-1.19262e-18,0.15,0.0229166,6.65283e-12
-1.19262e-18,0.15,0.0239583,6.65283e-12
-1.19262e-18,0.15,0.025,2.53347e-12
-1.13841e-18,0.15,0.0260417,2.53347e-12
-1.0842e-18,0.15,0.0270833,1.41069e-12
-1.09775e-18,0.15,0.028125,1.41069e-12
-1.11131e-18,0.15,0.0291667,8.59665e-13
-1.15196e-18,0.15,0.0302083,8.59665e-13
-1.19262e-18,0.15,0.03125,5.58156e-13
-1.30104e-18,0.15,0.0322916,5.58156e-13
-1.40946e-18,0.15,0.0333333,3.7926e-13
-1.30104e-18,0.15,0.034375,3.7926e-13
-1.19262e-18,0.15,0.0354166,2.63251e-13
-1.19262e-18,0.15,0.0364583,2.63251e-13
-1.19262e-18,0.15,0.0375,1.83952e-13
-1.19262e-18,0.15,0.0385417,1.83952e-13
-1.19262e-18,0.15,0.0395834,1.27738e-13
-1.24683e-18,0.15,0.040625,1.27738e-13
-1.30104e-18,0.15,0.0416667,8.69227e-14
-1.30104e-18,0.15,0.0427083,8.69227e-14
-1.30104e-18,0.15,0.04375,5.73417e-14
-1.21973e-18,0.15,0.0447917,5.73417e-14
-1.13841e-18,0.15,0.0458333,3.6494e-14
-1.16552e-18,0.15,0.046875,3.6494e-14
-1.19262e-18,0.15,0.0479167,2.2387e-14
-1.19262e-18,0.15,0.0489583,2.2387e-14
-1.19262e-18,0.15,0.05,1.32506e-14
-1.13841e-18,0.15,0.0510417,1.32506e-14
-1.0842e-18,0.15,0.0520834,7.57875e-15
-1.0842e-18,0.15,0.053125,7.57875e-15
-1.0842e-18,0.15,0.0541667,4.19527e-15
-1.13841e-18,0.15,0.0552084,4.19527e-15
-1.19262e-18,0.15,0.0562501,2.25556e-15
-1.57209e-18,0.15,0.0572917,2.25556e-15
-1.95156e-18,0.15,0.0583334,1.18011e-15
-2.00577e-18,0.15,0.0593751,1.18011e-15
-2.05998e-18,0.15,0.0604168,6.04476e-16
-2.1413e-18,0.15,0.0614584,6.04476e-16
-2.22261e-18,0.15,0.0625001,3.04131e-16
-2.1413e-18,0.15,0.0635418,3.04131e-16
-2.05998e-18,0.15,0.0645835,1.50009e-16
-2.00577e-18,0.15,0.0656252,1.50009e-16
-1.95156e-18,0.15,0.0666668,7.25624e-17
-1.95156e-18,0.15,0.0677085,7.25624e-17
-1.95156e-18,0.15,0.0687503,3.46016e-17
-1.89735e-18,0.15,0.0697919,3.46016e-17
-1.84314e-18,0.15,0.0708336,1.65733e-17
-1.84314e-18,0.15,0.0718753,1.65733e-17
-1.84314e-18,0.15,0.0729171,8.39486e-18
-2.1684e-18,0.15,0.0739588,8.39486e-18
-2.49366e-18,0.15,0.0750004,4.94037e-18
-2.43268e-18,0.15,0.0760422,4.94037e-18
-5.42101e-20,0.15,0.077084,3.67047e-18
-2.37169e-18,0.15,0.077084,4.94037e-18
1.35525e-20,0.15,0.0781256,3.67047e-18
8.13152e-20,0.15,0.0791672,2.7406e-18
2.03288e-19,0.15,0.0812507,2.7406e-18
3.25261e-19,0.15,0.0833342,1.90232e-18
1.6263e-19,0.15,0.0875017,1.90232e-18
0,0.15,0.0916692,3.51028e-18
0,0.15,0.0958366,3.51028e-18
0,0.15,0.100004,1.4526e-17
-3.25261e-19,0.15,0.108342,1.4526e-17
-6.50521e-19,0.15,0.116679,7.5577e-18
-1.0842e-19,0.15,0.125019,7.5577e-18
4.33681e-19,0.15,0.133358,1.21018e-18
