x,y,z,alpha.water
0.15,-4.1359e-25,1.39526e-37,5.64386e-86
0.15,-2.10064e-19,0.0125063,5.64386e-86
0.15,-4.20128e-19,0.0250126,3.13013e-84
0.15,-3.18484e-19,0.0388016,3.13013e-84
0.15,-2.1684e-19,0.0525906,6.82833e-82
0.15,-4.60786e-19,0.0671354,6.82833e-82
0.15,-7.04731e-19,0.0816801,5.99916e-85
0.15,-8.94467e-19,0.087985,5.99916e-85
0.15,-1.0842e-18,0.0942898,1.56798e-84
0.15,-1.06387e-18,0.0952724,1.56798e-84
0.15,-1.04354e-18,0.0962551,4.05114e-84
0.15,-5.21772e-19,0.103357,4.05114e-84
0.15,0,0.110459,4.05551e-83
0.15,-3.79471e-19,0.117272,4.05551e-83
0.15,-7.58942e-19,0.124084,1.43316e-85
0.15,-7.18284e-19,0.12737,1.43316e-85
0.15,-6.77626e-19,0.130655,6.4035e-88
