x,y,z,alpha.water
0,0.125,-0.125,1
4.87891e-19,0.125,-0.120834,1
9.75782e-19,0.125,-0.116667,1
-1.46367e-18,0.125,-0.116667,1
-1.49078e-18,0.125,-0.1125,1
-1.51788e-18,0.125,-0.108333,1
-1.51788e-18,0.125,-0.104166,1
-1.51788e-18,0.125,-0.1,1
-1.84314e-18,0.125,-0.0958334,1
-2.1684e-18,0.125,-0.0916667,1
-1.78893e-18,0.125,-0.0875,1
-1.40946e-18,0.125,-0.0833333,1
-1.30104e-18,0.125,-0.08125,1
-1.19262e-18,0.125,-0.0791667,1
-1.13841e-18,0.125,-0.0781251,1
-1.0842e-18,0.125,-0.0770836,1
-9.75782e-19,0.125,-0.0760418,1
-8.67362e-19,0.125,-0.075,1
-8.13152e-19,0.125,-0.0739584,1
-7.58942e-19,0.125,-0.0729167,1
-9.21572e-19,0.125,-0.071875,1
-1.0842e-18,0.125,-0.0708333,1
-1.02999e-18,0.125,-0.0697917,1
-9.75782e-19,0.125,-0.0687501,1
-9.21572e-19,0.125,-0.0677084,1
-8.67362e-19,0.125,-0.0666667,1.00001
-8.67362e-19,0.125,-0.0656251,1.00001
-8.67362e-19,0.125,-0.0645834,1.00001
-6.66615e-19,0.125,-0.0635417,1.00001
-4.65868e-19,0.125,-0.0625,1.00001
-4.49774e-19,0.125,-0.0614584,1.00001
-4.33681e-19,0.125,-0.0604167,1.00001
-5.96311e-19,0.125,-0.059375,1.00001
-7.58942e-19,0.125,-0.0583333,1
-8.67362e-19,0.125,-0.0572917,1
-9.75782e-19,0.125,-0.05625,1
-9.75782e-19,0.125,-0.0552084,1
-9.75782e-19,0.125,-0.0541667,1
-8.13152e-19,0.125,-0.0531251,1
-6.50521e-19,0.125,-0.0520834,1
-5.96311e-19,0.125,-0.0510417,1
-5.42101e-19,0.125,-0.05,1
-4.87891e-19,0.125,-0.0489583,1
-4.33681e-19,0.125,-0.0479166,1
-4.33681e-19,0.125,-0.046875,1
-4.33681e-19,0.125,-0.0458333,1
-4.87891e-19,0.125,-0.0447917,1
-5.42101e-19,0.125,-0.04375,1
-5.42101e-19,0.125,-0.0427084,1
-5.42101e-19,0.125,-0.0416667,1
-5.96311e-19,0.125,-0.040625,1
-6.50521e-19,0.125,-0.0395833,1
-6.50521e-19,0.125,-0.0385417,1
-6.50521e-19,0.125,-0.0375,1
-6.50521e-19,0.125,-0.0364583,1
-6.50521e-19,0.125,-0.0354167,1
-6.50521e-19,0.125,-0.034375,1
-6.50521e-19,0.125,-0.0333333,1
-5.96311e-19,0.125,-0.0322917,1
-5.42101e-19,0.125,-0.03125,1
-6.12405e-19,0.125,-0.0302084,1
-6.82709e-19,0.125,-0.0291667,1
-6.12405e-19,0.125,-0.0281251,1
-5.42101e-19,0.125,-0.0270834,1
-5.96311e-19,0.125,-0.0260417,1
-6.50521e-19,0.125,-0.025,1
-6.50521e-19,0.125,-0.0239584,1
-6.50521e-19,0.125,-0.0229167,1
-7.58942e-19,0.125,-0.021875,1
-8.67362e-19,0.125,-0.0208333,1
-9.75782e-19,0.125,-0.0197917,1
-1.0842e-18,0.125,-0.01875,0.999999
-1.02999e-18,0.125,-0.0177084,0.999999
-9.75782e-19,0.125,-0.0166667,0.999996
-9.75782e-19,0.125,-0.015625,0.999996
-9.75782e-19,0.125,-0.0145833,0.999972
-1.02025e-18,0.125,-0.0135417,0.999972
-1.06472e-18,0.125,-0.0125,0.99978
-1.08293e-18,0.125,-0.0114584,0.99978
-1.10114e-18,0.125,-0.0104167,0.99978
1.49078e-19,0.125,-0.0104167,0.997275
2.03288e-20,0.125,-0.00937502,0.997275
-1.0842e-19,0.125,-0.00833333,0.951598
-1.6263e-19,0.125,-0.00729167,0.951598
-2.1684e-19,0.125,-0.00625,0.618017
-1.6263e-19,0.125,-0.00520834,0.618017
-1.0842e-19,0.125,-0.00416667,0.14822
-5.42101e-20,0.125,-0.003125,0.14822
0,0.125,-0.00208333,0.0177778
0,0.125,-0.00104166,0.0177778
0,0.125,4.3308e-11,0.00157793
-5.42101e-20,0.125,0.00104167,0.00157793
-1.0842e-19,0.125,0.00208334,0.000135576
-1.11385e-19,0.125,0.00312501,0.000135576
-1.14349e-19,0.125,0.00416667,2.16367e-05
-1.11385e-19,0.125,0.00520834,2.16367e-05
-1.0842e-19,0.125,0.00625,3.90214e-06
-1.0842e-19,0.125,0.00729167,3.90214e-06
-1.0842e-19,0.125,0.00833333,5.36343e-07
-1.6263e-19,0.125,0.00937502,5.36343e-07
-2.1684e-19,0.125,0.0104167,5.07209e-08
-1.6263e-19,0.125,0.0114584,5.07209e-08
-1.0842e-19,0.125,0.0125,5.85525e-09
-5.42101e-20,0.125,0.0135417,5.85525e-09
0,0.125,0.0145833,2.41502e-09
-5.42101e-20,0.125,0.015625,2.41502e-09
-1.0842e-19,0.125,0.0166667,2.031e-09
-5.42101e-20,0.125,0.0177083,2.031e-09
0,0.125,0.01875,2.0323e-09
0,0.125,0.0197917,2.0323e-09
0,0.125,0.0208333,2.08989e-09
0,0.125,0.021875,2.08989e-09
0,0.125,0.0229166,2.04257e-09
-1.0842e-19,0.125,0.0239583,2.04257e-09
-2.1684e-19,0.125,0.025,1.87309e-09
-1.6263e-19,0.125,0.0260416,1.87309e-09
-1.0842e-19,0.125,0.0270833,1.68822e-09
-1.6263e-19,0.125,0.028125,1.68822e-09
-2.1684e-19,0.125,0.0291667,1.66865e-09
-1.6263e-19,0.125,0.0302083,1.66865e-09
-1.0842e-19,0.125,0.03125,1.67179e-09
-1.6263e-19,0.125,0.0322916,1.67179e-09
-2.1684e-19,0.125,0.0333333,1.69414e-09
-2.1684e-19,0.125,0.034375,1.69414e-09
-2.1684e-19,0.125,0.0354167,1.72303e-09
-1.90159e-19,0.125,0.0364583,1.72303e-09
-1.63477e-19,0.125,0.0375,1.72757e-09
-1.90159e-19,0.125,0.0385417,1.72757e-09
-2.1684e-19,0.125,0.0395833,1.71957e-09
-2.1684e-19,0.125,0.040625,1.71957e-09
-2.1684e-19,0.125,0.0416667,1.69188e-09
-1.6263e-19,0.125,0.0427084,1.69188e-09
-1.0842e-19,0.125,0.0437501,1.6671e-09
-1.0842e-19,0.125,0.0447917,1.6671e-09
-1.0842e-19,0.125,0.0458334,1.66063e-09
-1.0842e-19,0.125,0.0468751,1.66063e-09
-1.0842e-19,0.125,0.0479167,1.66355e-09
0,0.125,0.0489584,1.66355e-09
1.0842e-19,0.125,0.0500001,1.66921e-09
5.42101e-20,0.125,0.0510418,1.66921e-09
0,0.125,0.0520835,1.66932e-09
5.42101e-20,0.125,0.0531251,1.66932e-09
1.0842e-19,0.125,0.0541668,1.66115e-09
-5.42101e-20,0.125,0.0552085,1.66115e-09
-2.1684e-19,0.125,0.0562501,1.65373e-09
-2.71051e-19,0.125,0.0572918,1.65373e-09
-3.25261e-19,0.125,0.0583335,1.65249e-09
-4.33681e-19,0.125,0.0593752,1.65249e-09
-5.42101e-19,0.125,0.060417,1.67429e-09
-6.50521e-19,0.125,0.0614586,1.67429e-09
-7.58942e-19,0.125,0.0625003,1.69829e-09
-7.58942e-19,0.125,0.0635421,1.69829e-09
-7.58942e-19,0.125,0.0645838,1.70598e-09
-6.50521e-19,0.125,0.0656255,1.70598e-09
-5.42101e-19,0.125,0.0666672,1.70978e-09
-4.87891e-19,0.125,0.067709,1.70978e-09
-4.33681e-19,0.125,0.0687508,1.72401e-09
-2.70204e-19,0.125,0.0697925,1.72401e-09
-1.06726e-19,0.125,0.0708341,1.76175e-09
-1.61783e-19,0.125,0.071876,1.76175e-09
-2.1684e-19,0.125,0.0729178,1.83564e-09
-2.71051e-19,0.125,0.0739595,1.83564e-09
-3.25261e-19,0.125,0.0750012,1.94357e-09
-3.69306e-19,0.125,0.0760432,1.94357e-09
-4.13352e-19,0.125,0.0770851,1.94357e-09
-3.04932e-19,0.125,0.0770851,2.05169e-09
-2.60886e-19,0.125,0.0781268,2.05169e-09
-2.1684e-19,0.125,0.0791685,2.2123e-09
-1.6263e-19,0.125,0.0812524,2.2123e-09
-1.0842e-19,0.125,0.0833364,2.58978e-09
-4.33681e-19,0.125,0.0875054,2.58978e-09
-7.58942e-19,0.125,0.0916743,3.02921e-09
-8.13152e-19,0.125,0.0958432,3.02921e-09
-8.67362e-19,0.125,0.100012,3.33123e-09
-8.13152e-19,0.125,0.108362,3.33123e-09
-7.58942e-19,0.125,0.116712,3.71067e-09
-6.77626e-19,0.125,0.125065,3.71067e-09
-5.96311e-19,0.125,0.133418,3.74094e-09
