10000
(
(0.00000 ((0.000000 0 0) (0 0 0)))
(0.00700 ((0.000567 0 0) (0 0 0)))
(0.01400 ((0.001134 0 0) (0 0 0)))
(0.02100 ((0.001699 0 0) (0 0 0)))
(0.02800 ((0.002261 0 0) (0 0 0)))
(0.03500 ((0.002822 0 0) (0 0 0)))
(0.04200 ((0.003378 0 0) (0 0 0)))
(0.04900 ((0.003930 0 0) (0 0 0)))
(0.05601 ((0.004478 0 0) (0 0 0)))
(0.06301 ((0.005019 0 0) (0 0 0)))
(0.07001 ((0.005555 0 0) (0 0 0)))
(0.07701 ((0.006083 0 0) (0 0 0)))
(0.08401 ((0.006604 0 0) (0 0 0)))
(0.09101 ((0.007116 0 0) (0 0 0)))
(0.09801 ((0.007620 0 0) (0 0 0)))
(0.10501 ((0.008114 0 0) (0 0 0)))
(0.11201 ((0.008597 0 0) (0 0 0)))
(0.11901 ((0.009070 0 0) (0 0 0)))
(0.12601 ((0.009532 0 0) (0 0 0)))
(0.13301 ((0.009981 0 0) (0 0 0)))
(0.14001 ((0.010418 0 0) (0 0 0)))
(0.14701 ((0.010842 0 0) (0 0 0)))
(0.15402 ((0.011252 0 0) (0 0 0)))
(0.16102 ((0.011649 0 0) (0 0 0)))
(0.16802 ((0.012030 0 0) (0 0 0)))
(0.17502 ((0.012396 0 0) (0 0 0)))
(0.18202 ((0.012747 0 0) (0 0 0)))
(0.18902 ((0.013082 0 0) (0 0 0)))
(0.19602 ((0.013400 0 0) (0 0 0)))
(0.20302 ((0.013702 0 0) (0 0 0)))
(0.21002 ((0.013986 0 0) (0 0 0)))
(0.21702 ((0.014253 0 0) (0 0 0)))
(0.22402 ((0.014501 0 0) (0 0 0)))
(0.23102 ((0.014732 0 0) (0 0 0)))
(0.23802 ((0.014944 0 0) (0 0 0)))
(0.24502 ((0.015137 0 0) (0 0 0)))
(0.25203 ((0.015311 0 0) (0 0 0)))
(0.25903 ((0.015466 0 0) (0 0 0)))
(0.26603 ((0.015602 0 0) (0 0 0)))
(0.27303 ((0.015718 0 0) (0 0 0)))
(0.28003 ((0.015814 0 0) (0 0 0)))
(0.28703 ((0.015890 0 0) (0 0 0)))
(0.29403 ((0.015947 0 0) (0 0 0)))
(0.30103 ((0.015983 0 0) (0 0 0)))
(0.30803 ((0.015999 0 0) (0 0 0)))
(0.31503 ((0.015995 0 0) (0 0 0)))
(0.32203 ((0.015971 0 0) (0 0 0)))
(0.32903 ((0.015927 0 0) (0 0 0)))
(0.33603 ((0.015863 0 0) (0 0 0)))
(0.34303 ((0.015779 0 0) (0 0 0)))
(0.35004 ((0.015675 0 0) (0 0 0)))
(0.35704 ((0.015551 0 0) (0 0 0)))
(0.36404 ((0.015408 0 0) (0 0 0)))
(0.37104 ((0.015246 0 0) (0 0 0)))
(0.37804 ((0.015064 0 0) (0 0 0)))
(0.38504 ((0.014863 0 0) (0 0 0)))
(0.39204 ((0.014644 0 0) (0 0 0)))
(0.39904 ((0.014406 0 0) (0 0 0)))
(0.40604 ((0.014151 0 0) (0 0 0)))
(0.41304 ((0.013877 0 0) (0 0 0)))
(0.42004 ((0.013586 0 0) (0 0 0)))
(0.42704 ((0.013278 0 0) (0 0 0)))
