x,y,z,alpha.water
0,0.15,-0.125,1
0,0.15,-0.120833,1
-5.42101e-20,0.15,-0.116667,1
0,0.15,-0.116667,1
-2.43945e-19,0.15,-0.1125,1
-4.33681e-19,0.15,-0.108333,1
-1.0842e-19,0.15,-0.104167,1
2.1684e-19,0.15,-0.1,1
0,0.15,-0.0958334,1
-2.1684e-19,0.15,-0.0916667,1
-2.71051e-19,0.15,-0.0875,1
-3.25261e-19,0.15,-0.0833333,1
-3.25261e-19,0.15,-0.08125,1
-3.25261e-19,0.15,-0.0791667,1
-4.87891e-19,0.15,-0.0781251,1
-6.50521e-19,0.15,-0.0770834,1
-6.50521e-19,0.15,-0.0760417,1
-6.50521e-19,0.15,-0.075,1
-6.50521e-19,0.15,-0.0739584,1
-6.50521e-19,0.15,-0.0729168,1
-6.09864e-19,0.15,-0.071875,1
-5.69206e-19,0.15,-0.0708333,1
-8.26704e-19,0.15,-0.0697917,1
-1.0842e-18,0.15,-0.06875,1
-1.30104e-18,0.15,-0.0677084,1
-1.51788e-18,0.15,-0.0666667,1
-1.68051e-18,0.15,-0.065625,1
-1.84314e-18,0.15,-0.0645834,1
5.42101e-20,0.15,-0.0645834,1
8.13152e-20,0.15,-0.0635417,1
1.0842e-19,0.15,-0.0625,1
5.42101e-20,0.15,-0.0614583,1
0,0.15,-0.0604167,1
-2.71051e-19,0.15,-0.059375,1
-5.42101e-19,0.15,-0.0583333,1
-4.87891e-19,0.15,-0.0572916,1
-4.33681e-19,0.15,-0.05625,1
-2.30393e-19,0.15,-0.0552083,1
-2.71051e-20,0.15,-0.0541667,1
-6.77626e-20,0.15,-0.0531251,1
-1.0842e-19,0.15,-0.0520834,1
5.42101e-20,0.15,-0.0510417,1
2.1684e-19,0.15,-0.05,1
3.25261e-19,0.15,-0.0489583,1
4.33681e-19,0.15,-0.0479167,1
4.87891e-19,0.15,-0.046875,1
5.42101e-19,0.15,-0.0458333,1
5.96311e-19,0.15,-0.0447917,1
6.50521e-19,0.15,-0.04375,1
5.42101e-19,0.15,-0.0427083,1
4.33681e-19,0.15,-0.0416667,1
5.42101e-19,0.15,-0.0406251,1
6.50521e-19,0.15,-0.0395834,0.999998
7.04731e-19,0.15,-0.0385417,0.999998
7.58942e-19,0.15,-0.0375,0.999998
7.58942e-19,0.15,-0.0364583,0.999998
7.58942e-19,0.15,-0.0354166,0.999998
5.96311e-19,0.15,-0.034375,0.999998
4.33681e-19,0.15,-0.0333333,1
3.79471e-19,0.15,-0.0322917,1
3.25261e-19,0.15,-0.03125,1
2.71051e-19,0.15,-0.0302084,1
2.1684e-19,0.15,-0.0291667,1
2.71051e-19,0.15,-0.0281251,1
3.25261e-19,0.15,-0.0270834,1
2.71051e-19,0.15,-0.0260417,1
2.1684e-19,0.15,-0.025,1
-5.42101e-20,0.15,-0.0239583,1
-3.25261e-19,0.15,-0.0229167,1
-2.43945e-19,0.15,-0.021875,1
-1.6263e-19,0.15,-0.0208333,1
-2.98156e-19,0.15,-0.0197917,1
-4.33681e-19,0.15,-0.01875,1
-1.6263e-19,0.15,-0.0177084,1
1.0842e-19,0.15,-0.0166667,1
5.42101e-20,0.15,-0.015625,1
0,0.15,-0.0145833,1
0,0.15,-0.0135417,1
0,0.15,-0.0125,1
8.13152e-20,0.15,-0.0125,0.999998
-1.21973e-19,0.15,-0.0114583,0.999998
-3.25261e-19,0.15,-0.0104167,0.999968
-3.79471e-19,0.15,-0.009375,0.999968
-4.33681e-19,0.15,-0.00833333,0.999008
-5.96311e-19,0.15,-0.00729166,0.999008
-7.58942e-19,0.15,-0.00625,0.967149
-5.55654e-19,0.15,-0.00520833,0.967149
-3.52366e-19,0.15,-0.00416667,0.661296
-3.38813e-19,0.15,-0.003125,0.661296
-3.25261e-19,0.15,-0.00208334,0.120698
-2.1684e-19,0.15,-0.00104167,0.120698
-1.0842e-19,0.15,1.47599e-11,0.00401654
-5.42101e-20,0.15,0.00104167,0.00401654
0,0.15,0.00208334,1.56134e-05
1.0842e-19,0.15,0.003125,1.56134e-05
2.1684e-19,0.15,0.00416667,9.71057e-06
2.71051e-19,0.15,0.00520833,9.71057e-06
3.25261e-19,0.15,0.00625,8.3655e-07
3.25261e-19,0.15,0.00729166,8.3655e-07
3.25261e-19,0.15,0.00833333,4.28031e-08
3.79471e-19,0.15,0.009375,4.28031e-08
4.33681e-19,0.15,0.0104167,2.09533e-09
7.99599e-19,0.15,0.0114583,2.09533e-09
1.16552e-18,0.15,0.0125,1.43324e-10
1.28749e-18,0.15,0.0135417,1.43324e-10
1.40946e-18,0.15,0.0145833,2.16414e-11
1.46367e-18,0.15,0.015625,2.16414e-11
1.51788e-18,0.15,0.0166667,5.60303e-12
1.51788e-18,0.15,0.0177083,5.60303e-12
1.51788e-18,0.15,0.01875,2.65699e-12
1.51788e-18,0.15,0.0197916,2.65699e-12
1.51788e-18,0.15,0.0208333,2.27682e-12
1.57209e-18,0.15,0.021875,2.27682e-12
1.6263e-18,0.15,0.0229167,2.65333e-12
1.84314e-18,0.15,0.0239583,2.65333e-12
2.05998e-18,0.15,0.025,3.82e-12
2.05998e-18,0.15,0.0260417,3.82e-12
2.05998e-18,0.15,0.0270834,5.53994e-12
1.98545e-18,0.15,0.028125,5.53994e-12
1.91091e-18,0.15,0.0291667,8.2032e-12
1.93124e-18,0.15,0.0302083,8.2032e-12
1.95156e-18,0.15,0.03125,1.38624e-11
2.05998e-18,0.15,0.0322916,1.38624e-11
2.1684e-18,0.15,0.0333333,2.841e-11
2.1684e-18,0.15,0.034375,2.841e-11
2.1684e-18,0.15,0.0354166,7.4543e-11
2.33103e-18,0.15,0.0364583,7.4543e-11
2.49366e-18,0.15,0.0375,2.12111e-10
2.76472e-18,0.15,0.0385417,2.12111e-10
3.03577e-18,0.15,0.0395834,4.38392e-10
2.98156e-18,0.15,0.040625,4.38392e-10
2.92735e-18,0.15,0.0416667,6.23154e-10
3.03577e-18,0.15,0.0427084,6.23154e-10
3.14419e-18,0.15,0.04375,7.44724e-10
3.21195e-18,0.15,0.0447917,7.44724e-10
3.27971e-18,0.15,0.0458333,9.43379e-10
