x,y,z,alpha.water
0,0.1,-0.125,1
2.1684e-19,0.1,-0.120833,1
-2.84603e-19,0.1,-0.116667,1
4.33681e-19,0.1,-0.116667,1
-7.92823e-19,0.1,-0.1125,1
-1.30104e-18,0.1,-0.108333,1
-1.24344e-18,0.1,-0.104166,1
-1.18585e-18,0.1,-0.1,1
-1.46028e-18,0.1,-0.0958333,1
-1.73472e-18,0.1,-0.0916667,1
-2.05744e-18,0.1,-0.0875,1
-2.38016e-18,0.1,-0.0833333,1
-2.49112e-18,0.1,-0.08125,1
-2.60209e-18,0.1,-0.0791667,1
-2.60209e-18,0.1,-0.078125,1
-2.60209e-18,0.1,-0.0770834,1
-2.70881e-18,0.1,-0.0760417,1
-2.81554e-18,0.1,-0.075,1.00001
-2.92565e-18,0.1,-0.0739583,1.00001
-3.03577e-18,0.1,-0.0729167,1.00001
-3.14419e-18,0.1,-0.071875,1.00001
-3.25261e-18,0.1,-0.0708333,1.00001
-3.03577e-18,0.1,-0.0697917,1.00001
-2.81893e-18,0.1,-0.0687501,1.00001
-3.02687e-18,0.1,-0.0677084,1.00001
-3.23482e-18,0.1,-0.0666667,1.00001
-3.24371e-18,0.1,-0.065625,1.00001
-3.25261e-18,0.1,-0.0645834,1.00001
-3.36103e-18,0.1,-0.0635417,1.00001
-3.46945e-18,0.1,-0.0625,1.00001
-3.57787e-18,0.1,-0.0614583,1.00001
-3.68629e-18,0.1,-0.0604167,1.00001
-3.57035e-18,0.1,-0.059375,1.00001
-3.45441e-18,0.1,-0.0583333,1.00001
-3.46193e-18,0.1,-0.0572916,1.00001
-3.46945e-18,0.1,-0.05625,1.00001
-3.25261e-18,0.1,-0.0552083,1.00001
-3.03577e-18,0.1,-0.0541667,1.00001
-3.25261e-18,0.1,-0.053125,1.00001
-3.46945e-18,0.1,-0.0520833,1.00001
-3.57353e-18,0.1,-0.0510417,1.00001
-3.67761e-18,0.1,-0.05,1.00001
-3.68195e-18,0.1,-0.0489583,1.00001
-3.68629e-18,0.1,-0.0479167,1.00001
-3.68629e-18,0.1,-0.046875,1.00001
-3.68629e-18,0.1,-0.0458333,1.00001
-3.36103e-18,0.1,-0.0447916,1.00001
